"24Fr Crescent Dual Lumen Ecmo Catheter -; MKOR: NONE, MPOR: NONE","SUP-INV-70124","CDM","","","0278","RC","","","","both",,"",6306.250,2837.813,"ZZZAETNA [1001]","BMC HB AETNA STUDENT HEALTH",3083.76,"48.90","",,,,"0","percent of total billed charges",431.24,5360.31,"Zero final payments for the item or service in the 15 months prior to posting the file."
"24Fr Crescent Dual Lumen Ecmo Catheter -; MKOR: NONE, MPOR: NONE","SUP-INV-70124","CDM","","","0278","RC","","","","both",,"",6306.250,2837.813,"ZZZAETNA [1001]","BMC HB AETNA",3083.76,"48.90","",,,,"0","percent of total billed charges",431.24,5360.31,"Zero final payments for the item or service in the 15 months prior to posting the file."
"25+ Shark Skin ; MKOR: NONE, MPOR: NONE","SUP-705.88P","CDM","","","0278","RC","","","","both",,"",614.650,276.593,"MERITAIN HEALTH [1023]","BMC HB AETNA",300.56,"48.90","",,,,"0","percent of total billed charges",221.27,522.45,"Zero final payments for the item or service in the 15 months prior to posting the file."
"25Ga Cannula Opth; MKOR: NONE, MPOR: NONE","SUP-8065750188","CDM","","","0272","RC","","","","both",,"",123.710,55.670,"CIGNA [2023]","BMC HB CIGNA",105.15,"85.00","",,,,"0","percent of total billed charges",44.54,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"27G Forcep Grsh ; MKOR: B121030, MPOR: NONE","SUP-711.44","CDM","","","0272","RC","","","","both",,"",560.510,252.230,"HSN DENTAL [4006]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",201.78,512.54,"Zero final payments for the item or service in the 15 months prior to posting the file."
"30D Multi-Unit Abutment Xeal Conical Connection Np 3.5Mm; MKOR: NONE, MPOR: NONE","SUP-300187","CDM","","","0278","RC","","","","both",,"",1053.980,474.291,"HSN CONFIDENTIAL [4007]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",379.43,895.88,"Zero final payments for the item or service in the 15 months prior to posting the file."
"30D Multi-Unit Abutment Xeal Conical Connection Np 3.5Mm; MKOR: NONE, MPOR: NONE","SUP-300187","CDM","","","0278","RC","","","","both",,"",1053.980,474.291,"ZZZCIGNA [1002]","BMC HB CIGNA",895.88,"85.00","",,,,"0","percent of total billed charges",379.43,895.88,"Zero final payments for the item or service in the 15 months prior to posting the file."
"30D Multi-Unit Abutment Xeal Conical Connection Np 4.5Mm; MKOR: NONE, MPOR: NONE","SUP-300189","CDM","","","0278","RC","","","","both",,"",1053.980,474.291,"ZZZCITY OF BOSTON WORK COMP [5003]","BMC HB WORKERS COMP",451.84,"42.87","",,,,"0","percent of total billed charges",379.43,895.88,"Zero final payments for the item or service in the 15 months prior to posting the file."
"30D Multi-Unit Abutment Xeal Conical Connection Rp 3.5Mm; MKOR: NONE, MPOR: NONE","SUP-300188","CDM","","","0278","RC","","","","both",,"",1053.980,474.291,"WELLSENSE HEALTH MEDICAID NEW HAMPSHIRE [1108]","BMC HB WELLSENSE HEALTH MEDICAID NEW HAMPSHIRE",379.43,"36.00","",,,,"0","percent of total billed charges",379.43,895.88,"Zero final payments for the item or service in the 15 months prior to posting the file."
"30D Multi-Unit Abutment Xeal Conical Connection Rp 4.5Mm; MKOR: NONE, MPOR: NONE","SUP-300190","CDM","","","0278","RC","","","","both",,"",1053.980,474.291,"HSN [4001]","BMC HB HEALTH SAFETY NET (IP MEDICARE, OP PER VISIT)",512.54,"","",,,,"0","per diem",379.43,895.88,"Zero final payments for the item or service in the 15 months prior to posting the file."
