"ATROPINE 1 % EYE DROPS [736]","24208-750-60","NDC","","","","","","","facility","both","1","EA","","50.06","17.52","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 ML"
"AZITHROMYCIN 600 MG TABLET [17387]","50111-789-10","NDC","","","","","","","facility","both","1","EA","","5.51","1.93","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"AZITHROMYCIN 600 MG TABLET [17387]","68084-920-32","NDC","","","","","","","facility","both","1","EA","","4.99","1.75","","","","","","","","","","","","","Gross Charge Type: pharmacy | NDC EA = 1 EACH"
"Abdomen surgery procedure","22999","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","390.04","","","","","","","fee schedule","257.59","3993","APC"
"Abl1 gene","81170","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","309","","","","","","","fee schedule","300","600","APC"
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","18310.2","","","","","","","fee schedule","3885","36620.39","APC"
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","18676.4","","","","","","","fee schedule","3885","36620.39","APC"
"Ablate heart dysrhythm focus","93650","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","8389.38","","","","","","","fee schedule","8145.02","16290.05","APC"
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","1652.69","","","","","","","fee schedule","990.66","3240.57","APC"
"Ablate inf turbinate submuc","30802","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","2116","","","","","","","fee schedule","990.66","3240.57",""
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","11433.53","","","","","","","fee schedule","3885","22201.02","APC"
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","4497.69","","","","","","","fee schedule","4088.81","8177.61","APC"
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","27555.3","","","","","","","fee schedule","3885","27555.3","APC"
"Abltj 1/+thyr ndul addl prq","60661","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Hmo/Pos","972","","","","","","","fee schedule","704","3993",""
"Abltj b9 prst8 tissue hifu","0950T","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","9885.63","","","","","","","fee schedule","9885.63","19771.25","APC"
"Abltj ire prst8 1+ tum perq","55877","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","11766.54","","","","","","","fee schedule","11100.51","22201.02","APC"
"Abo gnotyp abo 7 exons","0180U","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","291.32","","","","","","","fee schedule","274.83","549.66","APC"
"Abo gnotyp next gnrj seq abo","0221U","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","279.23","","","","","","","fee schedule","274.83","549.66","APC"
"Abobotulinumtoxina","J0586","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","9.01","","","","","","","fee schedule","8.75","17.5","APC"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Bcbs","Medicare Managed Care Plan","11551.97","","","","","","","fee schedule","4610.73","26887.82","MSDRG Base Rate"
"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG","","","","","","","facility","inpatient","","","","","","Global Excel Management","All Commercial Plans","13640.03","","","","","","","fee schedule","4610.73","26887.82","MSDRG Base Rate"
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Avmed","Hmo/Ppo","","","[Stop Loss: Total Charges > 314809 | Excess % of Charge: 43] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1643] [Rehab-Per Diem: 2469]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Hmo","","","[Stop Loss: Total Charges > 310574 | Total % of Charge: 31.8] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Rehab-Per Diem: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Ppo","","","[Stop Loss: Total Charges > 310574 | Total % of Charge: 34.6] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Rehab-Per Diem: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Devoted Health","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG","","","","","","","facility","inpatient","","","","","","Unitedhealthcare","Exchange","","","[Stop Loss: Total Charges > 271944 | Total % of Charge: 29.7] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 757] [Rehab-Per Diem: 1358]","5578.62","5578.62","5578.62","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Abortion","59840","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","3786.12","","","","","","","fee schedule","2133.06","6760.92","APC, OP Rate"
"Abortion","59840","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","5118.7","","","","","","","fee schedule","2133.06","6760.92","APC"
"Abortion","59841","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","3448.07","","","","","","","fee schedule","2133.06","6760.92","APC"
"Abortion","59841","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","3684.7","","","","","","","fee schedule","2133.06","6760.92","APC"
"Above elbow myoelectronic ct","L6955","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","15352.91","","","","","","","fee schedule","14621.82","29243.64","APC"
"Above knee hydracadence","L5610","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","2585.35","","","","","","","fee schedule","2534.66","5069.32","APC"
"Above knee leather socket","L5642","HCPCS","","","","","","","facility","outpatient","","","","","","Kaiser","Medicare Managed Care Plan","834.35","","","","","","","fee schedule","758.5","1517","APC"
"Acesso dl, per sq cm","Q4293","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","132.07","","","","","","","fee schedule","129.95","1822.44","APC"
"Acetone assay","82010","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","8.58","","","","","","","fee schedule","8.17","16.34","APC"
"Acetylcholinesterase assay","82013","HCPCS","","","","","","","facility","outpatient","","","","","","Health First Health Plans","Medicare Managed Care Plan","22.12","","","","","","","fee schedule","12.29","24.58","APC"
"Acetylcholinesterase assay","82013","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","24.58","","","","","","","fee schedule","12.29","24.58","APC"
"Acetylcholn rcptr bndng antb","86041","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","27.6","","","","","","","fee schedule","18.4","36.8","APC"
"Achr antb id imfluor livecll","0545U","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","75.46","","","","","","","fee schedule","37.73","75.46","APC"
"Acid perfusion of esophagus","91030","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","393.58","","","","","","","fee schedule","389.68","972","APC"
"Acne surgery","10040","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","234.66","","","","","","","fee schedule","209.52","972","APC, OP Rate"
"Acne surgery","10040","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","704","","","","","","","fee schedule","209.52","972",""
"Acoustic immitance testing","92570","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","134.37","","","","","","","fee schedule","134.37","268.74","APC"
"Acoustic refl threshold tst","92568","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","40.18","","","","","","","fee schedule","39","78.01","APC"
"Acth stimulation panel","80402","HCPCS","","","","","","","facility","outpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","88.35","","","","","","","fee schedule","86.96","173.92","APC"
"Acth stimulation panel","80406","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","82.96","","","","","","","fee schedule","78.26","156.52","APC"
"Actin antibody each","86015","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","18.08","","","","","","","fee schedule","12.05","24.1","APC"
"Activate matrix, per sq cm","Q4301","HCPCS","","","","","","","facility","outpatient","","","","","","Longevity","Medicare Managed Care Plan","141.65","","","","","","","fee schedule","129.95","2700","APC"
"Activate matrix, per sq cm","Q4301","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","259.91","","","","","","","fee schedule","129.95","2700","APC"
"Acupunct w/o stimul 15 min","97810","HCPCS","","","","","","","facility","outpatient","","","","","","Devoted Health","Medicare Managed Care Plan","33.83","","","","","","","fee schedule","30.2","60.41","APC, OP Rate"
"Acute & Subacute Endocarditis","126","MS-DRG","","","","","","","facility","inpatient","","","","","","Health First Health Plans","Ppo","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Health First Health Plans","Ppo","19784.41","","","","","","","fee schedule","7692.77","23956.37","MSDRG Base Rate"
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Molina Healthcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG","","","","","","","facility","inpatient","","","","","","Unitedhealthcare","Hmo/Pos","","","[Stop Loss: Total Charges > 285541 | Total % of Charge: 38.6] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 757] [Rehab-Per Diem: 1874]","19499.84","18353.64","20508.91","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Hmo","33639.91","","","","","","","fee schedule","12652.22","74730.21",""
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Avmed","Exchange","","","[Stop Loss: Total Charges > 299818 | Excess % of Charge: 41] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1451] [Rehab-Per Diem: 2181]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG","","","","","","","facility","inpatient","","","","","","Bcbs","Blue Select Ppo","","","[Stop Loss: Total Charges > 276260 | Excess % of Charge: 43.58] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [BMT-Allogeneic related-Case Rate: 189681] [BMT-Autologous-other-Case Rate: 97132] [Heart Transplant-Case Rate: 612098] [Kidney Transplant-Case Rate: 179822] [Liver Transplant-Case Rate: 321269] [Lung Transplant-Case Rate: 474666] [Pancreas Transplant-Case Rate: 293785]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Avmed","Hmo/Ppo","48742.78","","","","","","","fee schedule","21918.68","74730.21",""
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Florida Community Care","Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Humana","Transplant Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","","","facility","inpatient","","","","","","Sunshine Health","Ambetter Value Exchange","39992.54","","","","","","","fee schedule","21918.68","74730.21","MSDRG Base Rate"
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG","","","","","","","facility","inpatient","","","","","","Oscar","Exchange","18675.42","","","","","","","fee schedule","7856.48","74730.21",""
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG","","","","","","","facility","inpatient","","","","","","Unitedhealthcare","Hmo/Pos","","","[Stop Loss: Total Charges > 285541 | Total % of Charge: 38.6] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 757] [Rehab-Per Diem: 1874]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute GI blood loss imaging","78278","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","834.95","","","","","","","fee schedule","417.47","834.95","APC"
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Aetna","Ppo","","","[Stop Loss: Total Charges > 347079 | Total % of Charge: 55.2] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1603] [Rehab-Per Diem: 2399] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Avmed","Hmo/Ppo","","","[Stop Loss: Total Charges > 314809 | Excess % of Charge: 43] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1643] [Rehab-Per Diem: 2469]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Care Plus Health Plans","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Ppo","","","[Stop Loss: Total Charges > 310574 | Total % of Charge: 34.6] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Rehab-Per Diem: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Multiplan","Ppo","","","[Burn  (%BC): 90] [Transplants (%BC): 90] [Trauma  (%BC): 90] [All Other IP (%BC): 80]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Simply Healthcare","Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG","","","","","","","facility","inpatient","","","","","","Wellcare","Medicare Managed Care Plan","21560.38","","","","","","","fee schedule","17139.8","109505.54","MSDRG Base Rate"
"Acute Leukemia With Mcc","834","MS-DRG","","","","","","","facility","inpatient","","","","","","Cigna","Ppo","138122.76","","","","","","","fee schedule","44353.37","138122.76",""
"Acute Leukemia With Mcc","834","MS-DRG","","","","","","","facility","inpatient","","","","","","Freedom Health","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","48636.25","48636.25","48636.25","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Acute Leukemia With Mcc","834","MS-DRG","","","","","","","facility","inpatient","","","","","","Optimum Healthcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","48616.55","41488.72","96963.65","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Acute Leukemia With Mcc","834","MS-DRG","","","","","","","facility","inpatient","","","","","","Sunshine Health","Ambetter Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","98721.78","90506.72","180305.2","13","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Acute Leukemia With Mcc","834","MS-DRG","","","","","","","facility","inpatient","","","","","","Wellmed","Medicare Managed Care Plan","52016.66","","","","","","","fee schedule","44353.37","138122.76","MSDRG Base Rate"
"Acute Leukemia With Other Procedures","850","MS-DRG","","","","","","","facility","inpatient","","","","","","Global Excel Management","All Commercial Plans","118485","","","","","","","fee schedule","73920.68","256507.07","Trauma-Case Rate"
"Acute Leukemia With Other Procedures","850","MS-DRG","","","","","","","facility","inpatient","","","","","","Health First Health Plans","Ppo","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Other Procedures","850","MS-DRG","","","","","","","facility","inpatient","","","","","","Optum","Transplant Medicaid Managed Care Plan","","","[Inpatient Services: Payer leverages state specific Medicaid payment methodology. Available, referenceable algorithm logic found here: https://ahca.myflorida.com/medicaid/]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Other Procedures","850","MS-DRG","","","","","","","facility","inpatient","","","","","","Oscar","Exchange","","","[Stop Loss: Total Charges > 300000 | Total % of Charge: 40 | Not to Exceed Dollar: 9538] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section 4 day stay-Case Rate: 7630.65 Days: 4 Additional Days: 3703.89] [Normal vag. Del. 3 day stay-Case Rate: 5723.30 Days: 3 Additional Days: 3814.72] [Normal Newborn-Per Diem: 2327.26] [Lower Level Neonate-Per Diem: 3814.72] [Higher Level Neonate-Per Diem: 5723.30] [Severe Level Neonate-per diem: 6676.37]","","","","0","other","","","No services performed during 15-month lookback period."
