"""""""Hb 43999 Unlisted Procedure Stomach""","75000184","CDM","750","RC","","","","","facility","both","","","","6069","2124.15","","","","","","","","","","","","","Gross Charge Type: Fsid 100"
"Abdominal pad","L1270","HCPCS","","","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","114.78","","","","","","","fee schedule","113.64","227.28","APC"
"Abduction bar-straight","L2310","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Exchange","237.5","","","","","","","fee schedule","141.37","282.74","APC"
"Abduction bar-straight","L2310","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Value Exchange","214.06","","","","","","","fee schedule","141.37","282.74","APC"
"Abduction rotation bar shoe","L3140","HCPCS","","","","","","","facility","outpatient","","","","","","Simply Healthcare","Medicare Managed Care Plan","116.63","","","","","","","fee schedule","110.03","220.06","APC"
"Abeta42 & ttau eclia csf","0459U","HCPCS","","","","","","","facility","outpatient","","","","","","Baycare","Medicare Managed Care Plan","268.32","","","","","","","fee schedule","260.5","521","APC"
"Abeta42 & ttau eclia csf","0459U","HCPCS","","","","","","","facility","outpatient","","","","","","Freedom Health","Medicare Managed Care Plan","265.71","","","","","","","fee schedule","260.5","521","APC"
"Abeta42 & ttau eclia csf","0459U","HCPCS","","","","","","","facility","outpatient","","","","","","Truli For Health","All Commercial Plans","494.95","","","","","","","fee schedule","260.5","521","APC"
"Abl1 gene","81170","HCPCS","","","","","","","facility","outpatient","","","","","","Bcbs","Medicare Managed Care Plan","304.89","","","","","","","fee schedule","300","600","APC"
"Ablate atria x10sv endo","33266","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3993","","","","","","","fee schedule","3613","4992",""
"Ablate bone tumor(s) perq","20982","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","29296.32","","","","","","","fee schedule","3885","36620.39","APC"
"Ablate heart dysrhythm focus","33261","HCPCS","","","","","","","facility","outpatient","","","","","","Unitedhealthcare","Exchange","3613","","","","","","","fee schedule","3613","4992",""
"Ablate heart dysrhythm focus","93650","HCPCS","","","","","","","facility","outpatient","","","","","","Capital Health Plan Tallahassee","Medicare Managed Care Plan","8145.02","","","","","","","fee schedule","8145.02","16290.05","APC"
"Ablate pulm tumor perq crybl","32994","HCPCS","","","","","","","facility","outpatient","","","","","","Cigna","Ppo","3993","","","","","","","fee schedule","3885","22201.02",""
"Ablt b9 brst tum perq lsr ea","0970T","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","4293.25","","","","","","","fee schedule","4088.81","8177.61","APC"
"Ablt mal brst tum pq lsr uni","0971T","HCPCS","","","","","","","facility","outpatient","","","","","","Molina","Exchange","6133.21","","","","","","","fee schedule","4088.81","8177.61","APC"
"Ablt trurl prst8 tis trnsdcr","55882","HCPCS","","","","","","","facility","outpatient","","","","","","Ultimate Health Plans","Medicare Managed Care Plan","14466.53","","","","","","","fee schedule","3885","27555.3","APC"
"Abltj b9 prst8 tissue hifu","0950T","HCPCS","","","","","","","facility","outpatient","","","","","","Sunshine Health","Ambetter Exchange","15817","","","","","","","fee schedule","9885.63","19771.25","APC"
"Abltj mal prst8 tiss hifu","55880","HCPCS","","","","","","","facility","outpatient","","","","","","Oscar","Exchange","19771.25","","","","","","","fee schedule","3760","19771.25","APC"
