"ANTI-NEURONAL NUC AB, TYPE 1**",03002196,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,GEHA,Commercial,,104.55,,,,,,,11.09,110.70,percent of total billed charges,
"ANTI-NEURONAL NUC AB, TYPE 1**",03002196,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,North Alabama Managed Care,Commercial,,79.95,,,,,,,11.09,110.70,percent of total billed charges,
"ANTI-NEURONAL NUC AB, TYPE 1**",03002196,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Optum,VACCN,,12.05,,,,,,,11.09,110.70,fee schedule,
"ANTI-NEURONAL NUC AB, TYPE 2**",03002197,CDM,300,RC,86255,CPT,,,facility,inpatient,,,123.00000,,National Provider Network,Commercial,,110.70,,,,,,,61.50,110.70,percent of total billed charges,
"ANTI-NEURONAL NUC AB, TYPE 2**",03002197,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Ambetter,Commercial-Exchange,,16.57,,,,,,,11.09,110.70,fee schedule,
"ANTI-NEURONAL NUC AB, TYPE 2**",03002197,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Cigna,New Business,,26.07,,,,,,,11.09,110.70,fee schedule,
"ANTI-NEURONAL NUC AB, TYPE 2**",03002197,CDM,300,RC,86255,CPT,,,facility,outpatient,,,123.00000,,Department of Labor,Workers' Compensation,,104.55,,,,,,,11.09,110.70,percent of total billed charges,
"ANTI-TRYPSIN, ALPHA 1",15860265,CDM,301,RC,82103,CPT,,,facility,inpatient,,,226.00000,,Coventry,Network Access,,169.50,,,,,,,113.00,203.40,percent of total billed charges,"Inpatient services are reimbursed at a 25% discount when total charges are less than $50,000 and a 35% discount when total charges are equal to or greater than $50,000."
"ANTI-TRYPSIN, ALPHA 1",15860265,CDM,301,RC,82103,CPT,,,facility,inpatient,,,226.00000,,Tethys,Commercial,,180.80,,,,,,,113.00,203.40,percent of total billed charges,
"ANTI-TRYPSIN, ALPHA 1",15860265,CDM,301,RC,82103,CPT,,,facility,outpatient,,,226.00000,,Phifer,Health Benefit Plans,,192.10,,,,,,,10.14,203.40,percent of total billed charges,
"AP3B2 IFA, S**",15805981,CDM,302,RC,86255,CPT,,,facility,inpatient,,,133.00000,,Gulf Health Plans,Commercial,,113.05,,,,,,,66.50,119.70,percent of total billed charges,
"AP3B2 IFA, S**",15805981,CDM,302,RC,86255,CPT,,,facility,inpatient,,,133.00000,,NovaNet,Commercial,,119.70,,,,,,,66.50,119.70,percent of total billed charges,
"AP3B2 IFA, S**",95105981,CDM,302,RC,86255,CPT,,,facility,outpatient,,,53.00000,,Department of Labor,Workers' Compensation,,45.05,,,,,,,11.09,47.70,percent of total billed charges,
"AP3B2 IFA, S**",95105981,CDM,302,RC,86255,CPT,,,facility,outpatient,,,53.00000,,Preferred Health Partnership,Commercial,,45.05,,,,,,,11.09,47.70,percent of total billed charges,
"ARTERIAL PUNCTURE,DIAGNOSTIC",25830018,CDM,450,RC,36600,CPT,,,facility,outpatient,,,232.00000,,Prime Health Services,Commercial,,208.80,,,,,,,106.17,250.00,percent of total billed charges,
"ARTERIAL PUNCTURE,DIAGNOSTIC",25930018,CDM,450,RC,36600,CPT,,,facility,inpatient,,,232.00000,,University of Alabama,Athletics,ER,116.00,,,,,,,116.00,208.80,percent of total billed charges,"Claim is reimbursement at 50% of billed charges for charges up to $10,000, not to exceed $2,500. Claim with billed charges above $10,000 are reimbursed at 100% of billed charges."
"ARTERIAL PUNCTURE,DIAGNOSTIC",25930018,CDM,450,RC,36600,CPT,,,facility,outpatient,,,232.00000,,Southern Nuclear,Commercial,ER,197.20,,,,,,,116.00,250.00,percent of total billed charges,
"BICARBONATE, SERUM",20270193,CDM,300,RC,82374,CPT,,,facility,outpatient,,,117.00000,,Select Value Care,Workers' Compensation,,93.60,,,,,,,2.31,105.30,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22720220,CDM,361,RC,20220,CPT,,,facility,inpatient,,,2652.00000,,National Provider Network,Commercial,,2386.80,,,,,,,1326.00,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22720220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,Comp One,Workers' Compensation,,1909.44,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22720220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,NovaNet,Workers' Compensation,,2121.60,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22820220,CDM,361,RC,20220,CPT,,,facility,inpatient,,,2652.00000,,Multiplan,Commercial,,2174.64,,,,,,,1326.00,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22820220,CDM,361,RC,20220,CPT,,,facility,inpatient,,,2652.00000,,North Mississippi Health Link,Commercial,,2386.80,,,,,,,1326.00,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22820220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,Cigna,New Business,,2022.15,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22820220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,GEHA,Commercial,,2254.20,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",22820220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,Phifer,Health Benefit Plans,,2254.20,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",44220220,CDM,361,RC,20220,CPT,,,facility,inpatient,,,2652.00000,,NovaNet,Commercial,,2386.80,,,,,,,1326.00,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",44220220,CDM,361,RC,20220,CPT,,,facility,inpatient,,,2652.00000,,Southern Nuclear,Commercial,,2254.20,,,,,,,1326.00,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",44220220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,Evolutions,Workers' Compensation,,2121.60,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, BONE SUPERFICIAL",46620220,CDM,361,RC,20220,CPT,,,facility,outpatient,,,2652.00000,,Tethys,Commercial,PO,2121.60,,,,,,,1060.80,2386.80,percent of total billed charges,
"BIOPSY, PLEURA- PERCUT. NEEDLE",45732400,CDM,361,RC,32400,CPT,,,facility,inpatient,,,2323.00000,,United Healthcare,Commercial,,1263.25,,,,,,,1161.50,2090.70,percent of total billed charges,
