"*BUR, ROUND MICRO MED 2MM","Wilm3164553","CDM","272","RC","","","","","facility","both","","","","105.85","105.85","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ROUND MULTI FLUTED 5.0MM","EplbChSup61408","CDM","272","RC","","","","","facility","both","","","","916.66","916.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, SHAVER ARTHROSCOPIC 20 X 3.1MM STERILE","AngiWmSup116544","CDM","272","RC","","","","","facility","both","","","","2216.33","2216.33","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BURR, NTI CARBIDE FG 7408 H379-023","Chrs5466442","CDM","272","RC","","","","","facility","both","","","","76.24","76.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BURR, NTI CARBIDE FG 7408 H379-023","EplbChSup66442","CDM","272","RC","","","","","facility","both","","","","76.24","76.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CABLE, TRIAL MULTILEAD","Chrs5459151","CDM","272","RC","","","","","facility","both","","","","1156.05","1156.05","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, SUCTION 1200CC","EplbChSup21299","CDM","270","RC","","","","","facility","both","","","","7.77","7.77","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, 2-STAGE VENOUS 36/46F","EplbChSup213701","CDM","270","RC","","","","","facility","both","","","","102.18","102.18","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, AORTIC ROOT LONG 14GA","CcthChSup53875","CDM","272","RC","","","","","facility","both","","","","115.6","115.6","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, DUAL STAGE VENOUS W/DOUBLE BASKET","Chrs5424423","CDM","270","RC","","","","","facility","both","","","","236.81","236.81","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, IRRIGATING 27G","Wilm54961","CDM","270","RC","","","","","facility","both","","","","30.18","30.18","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL AIRLIFE","CcsbUS752","CDM","270","RC","","","","","facility","both","","","","0.45","0.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL AIRLIFE","Hccc41752","CDM","270","RC","","","","","facility","both","","","","0.45","0.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL AIRLIFE","Midd47752","CDM","270","RC","","","","","facility","both","","","","0.45","0.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, STRAIGHT VENOUS 28FR","CcthChSup213685","CDM","270","RC","","","","","facility","both","","","","159.37","159.37","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA,CORONARY ARTERY RT ANGLE BAL 6.0MM","AngiChSup74720","CDM","270","RC","","","","","facility","both","","","","519.64","519.64","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA,CORONARY ARTERY STRAIGHT BAL 7.0MM","AngiChSup74719","CDM","270","RC","","","","","facility","both","","","","478.77","478.77","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA,NASAL HIGH FLOW OPTIFLOW MED MR850","CcthChSup66720","CDM","270","RC","","","","","facility","both","","","","131.51","131.51","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CAP, ATRIUM CHEST DRAIN","CcthChSup5726","CDM","270","RC","","","","","facility","both","","","","20.44","20.44","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CAP, IPC VALVE CAP","AngiChSup78047","CDM","272","RC","","","","","facility","both","","","","31.53","31.53","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CAP, REVEAL DISTAL ATTACHMENT 15.7MM OD","CcthChSup70582","CDM","272","RC","","","","","facility","both","","","","101.95","101.95","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 14FR FOLEY W/TEMP SENSOR","EplbChSup206110","CDM","270","RC","","","","","facility","both","","","","176.24","176.24","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 6FR X 100CM AL1","CcthChSup28539","CDM","272","RC","","","","","facility","both","","","","39.7","39.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, BERENSTEIN 4 FR","EplbChSup206361","CDM","270","RC","","","","","facility","both","","","","82.79","82.79","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, BERENSTEIN 4 FR. 65CM","AngiChSup211128","CDM","270","RC","","","","","facility","both","","","","82.77","82.77","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, COUDE NO BALLOON 14FR","Chrs312812","CDM","270","RC","","","","","facility","both","","","","21.66","21.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, COUDE NO BALLOON 14FR","Wilm542812","CDM","270","RC","","","","","facility","both","","","","21.66","21.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, COUDE NO BALLOON 16FR","EplbChSup212825","CDM","270","RC","","","","","facility","both","","","","21.66","21.66","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, COUNCIL 16 FR","CcthChSup4774","CDM","270","RC","","","","","facility","both","","","","77.31","77.31","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, DXTERITY DIAG 5FR JR4.0 X 100CM","CcthChSup74180","CDM","272","RC","","","","","facility","both","","","","43.79","43.79","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, IV PROTECTIVE 22G 1","CcsbCT93817","CDM","270","RC","","","","","facility","both","","","","8.75","8.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
