"*BUR, CLEARCUT SLAP 6-FLUTE 4.0MMX13CM","Wilm5450131","CDM","272","RC","","","","","facility","both","","","","231.2","231.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 10CM BALL DIAMOND FINE 1MM DIA","CcthChSup111319","CDM","272","RC","","","","","facility","both","","","","660.75","660.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 14CM BALL 4MM DIAMETER","EplbChSup111331","CDM","272","RC","","","","","facility","both","","","","743.38","743.38","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 14CM BALL 6MM DIAMETER","AngiWmSup111332","CDM","272","RC","","","","","facility","both","","","","743.38","743.38","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 15CM BALL 4MM DIAMETER","AngiWmSup111341","CDM","272","RC","","","","","facility","both","","","","743.38","743.38","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 7CM BALL 7MM DIAMETER","EplbChSup111307","CDM","272","RC","","","","","facility","both","","","","600.68","600.68","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 7CM BALL DIAMOND FINE 4MM","EplbChSup111301","CDM","272","RC","","","","","facility","both","","","","660.75","660.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, MR8 9CM ACORN 6MM DIAMETER","AngiChSup111310","CDM","272","RC","","","","","facility","both","","","","668.23","668.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ORAL SURGERY SHANK 2 #1703","Chrs5467297","CDM","272","RC","","","","","facility","both","","","","16.93","16.93","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ORAL SURGERY SHANK 2 #1703","Wilm3167297","CDM","272","RC","","","","","facility","both","","","","16.93","16.93","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*BUR, ROSEN 1-RING ELAN4  4.5MM","CcthChSup77473","CDM","272","RC","","","","","facility","both","","","","631.44","631.44","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, 12 LTR LARGE VOLUME","Ccim41203755","CDM","270","RC","","","","","facility","both","","","","108.39","108.39","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, 12 LTR LARGE VOLUME","Ccsb47203755","CDM","270","RC","","","","","facility","both","","","","108.39","108.39","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, SUCTION 2000CC","CcsmCT2089","CDM","270","RC","","","","","facility","both","","","","9.43","9.43","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, SUCTION 2000CC","FcinCT2089","CDM","270","RC","","","","","facility","both","","","","9.43","9.43","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, SUCTION 2000CC","S107472089","CDM","270","RC","","","","","facility","both","","","","9.43","9.43","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANISTER, VAC FOR INFO VAC WITH GEL 500ML","CcthChSup1805","CDM","270","RC","","","","","facility","both","","","","187.3","187.3","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, 2-STAGE VENOUS 36/46F","CcthChSup213701","CDM","270","RC","","","","","facility","both","","","","102.18","102.18","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, 8.25MM 7CM TWIST-IN","Wilm54214657","CDM","270","RC","","","","","facility","both","","","","159.4","159.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, CLEAR 7X7","Chrs5419822","CDM","270","RC","","","","","facility","both","","","","159.4","159.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, CLEAR 7X7","Wilm5419822","CDM","270","RC","","","","","facility","both","","","","159.4","159.4","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, IRRIGATING 30G","Wilm5480904","CDM","270","RC","","","","","facility","both","","","","28.2","28.2","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL AIRLIFE","CcimMR752","CDM","270","RC","","","","","facility","both","","","","0.45","0.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL AIRLIFE","Wilm54752","CDM","270","RC","","","","","facility","both","","","","0.45","0.45","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, NASAL ETC02 ADULT","EplbChSup91912","CDM","270","RC","","","","","facility","both","","","","11.09","11.09","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA, VESSEL 3MM","CcthChSup31874","CDM","270","RC","","","","","facility","both","","","","22.72","22.72","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA,CORONARY ARTERY STRAIGHT BAL 6.0MM","EplbChSup74718","CDM","270","RC","","","","","facility","both","","","","478.77","478.77","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CANNULA,NASAL HIGH FLOW OPTIFLOW MED MR850","Wilm3166720","CDM","270","RC","","","","","facility","both","","","","131.51","131.51","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CAP, HALO 360 MEDIUM","Wilm3165148","CDM","270","RC","","","","","facility","both","","","","217.7","217.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CAP, PROTECTIVE TIP BLUE 5MM","Chrs5459017","CDM","278","RC","C1776","HCPCS","","","facility","both","","","","228.06","228.06","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 16FR LT HEART VENT","Wilm54203757","CDM","270","RC","","","","","facility","both","","","","130.52","130.52","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 4FR 125CM BERNSTEIN","CcthChSup44871","CDM","272","RC","","","","","facility","both","","","","75.9","75.9","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 5FR STRAIT FLUSH 65 IMPRESS RADIOLOGY","Chrs3137856","CDM","278","RC","","","","","facility","both","","","","67.15","67.15","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 5FR X 110CM PIG 145","AngiWmSup28605","CDM","272","RC","","","","","facility","both","","","","39.7","39.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, 6FR X 110CM PIG 145","EplbChSup28606","CDM","272","RC","","","","","facility","both","","","","39.7","39.7","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, BALLOON BILIARY 5FR","CcthChSup80832","CDM","270","RC","","","","","facility","both","","","","613.05","613.05","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, EMBOL FOGARTY 6FR LONG","Chrs5480840","CDM","272","RC","C1757","HCPCS","","","facility","both","","","","218.89","218.89","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, FOLEY 5CC 14FR","WuroWm1045","CDM","270","RC","","","","","facility","both","","","","46.86","46.86","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, IV INTROCAN 14G 1-1/4","EplbChSup33958","CDM","272","RC","","","","","facility","both","","","","8.23","8.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, IV INTROCAN 16G X 1 1/4","EplbChSup3096","CDM","270","RC","","","","","facility","both","","","","8.23","8.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, IV INTROCAN 18G 1-1/4","Wilm548474","CDM","270","RC","","","","","facility","both","","","","8.23","8.23","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
"*CATH, IV PROTECTIVE 22G 1","CcccCR93817","CDM","270","RC","","","","","facility","both","","","","8.75","8.75","","","","","","","","","","","","","Gross Charge Type: Main Acute Price List"
