"Abortion With D&C, Aspiration Curettage Or Hysterotomy","770","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Hmo",,,"[Stop Loss: Total Charges > 258701 | Total % of Charge: 54.13] [Lesser Than Charges paid at %: 100] [Medical-Per Diem: 4009 Days: 1 Additional Days: 3196] [Surgical-Case Rate: 10825] [ICU-Per Diem: 4009] [CCU-Per Diem: 4009] [Step Down-Per Diem: 3345] [C-Section-Per Diem: 4272 Days: 1 Additional Days: 2927] [Normal Vaginal Delivery-Per Diem: 3720 Days: 1 Additional Days: 2927] [Nursery  Level 1- Boarder-Per Diem: 1190] [Nursery  Level 2-Per Diem: 2044] [Nursery  Level 3-Per Diem: 3019] [Nursery  Level 4-NICU-Per Diem: 3264] [Psych-Per Diem: 1448] [Rehab-Per Diem: 2500] [IP High Cost Drugs (%BC): 38] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion Without D&C","779","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Abortion","59840","HCPCS",,,,,,,"facility","outpatient",,,,,,"Wellcare","Medicare Managed Care Plan","3441.73",,,,,,,"fee schedule","3011.79","8364.54","APC"
"Abortion","59852","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","3826",,,,,,,"fee schedule","3011.79","5051.48",
"Abortion","59856","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","4840.09",,,,,,,"fee schedule","2912","5051.48",
"Abrasion lesion single","15786","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","201.24",,,,,,,"fee schedule","201.24","4840.09","APC"
"Abscess drainage under x-ray","75989","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","83.81",,,,,,,"fee schedule","83.8","123.77",
"Access thoracic lymph duct","38794","HCPCS",,,,,,,"facility","outpatient",,,,,,"Oscar Health","Exchange","2572",,,,,,,"fee schedule","1343","4840.09",
"Acetylcholinesterase assay","82013","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","18.44",,,,,,,"fee schedule","9.22","26.05",
"Acetylcholn rcptr bndng antb","86041","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","18.4",,,,,,,"fee schedule","13.8","39.01",
"Acetylcysteine: 25 Vial In 1 Carton (63323-694-04)  / 4 Ml In 1 Vial (63323-694-22)","5001856_63323069404","CDM","637","RC","J7608","HCPCS","63323069404","NDC","facility","both","1","EA",,"79.4","79.4",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Acid perfusion of esophagus","91030","HCPCS",,,,,,,"facility","outpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","1343",,,,,,,"fee schedule","374.29","2572",
"Acne surgery","10040","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Hmo/Pos","4840.09",,,,,,,"fee schedule","201.24","4840.09",
"Acoustic refl threshold tst","92568","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","39.34",,,,,,,"fee schedule","37.46","79.42","APC"
"Acth stimulation panel","80400","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Exchange","48.93",,,,,,,"fee schedule","24.47","69.15",
"Acute & Subacute Endocarditis","126","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Adjustment Reaction And Psychosocial Dysfunction","880","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Rehab-Per Diem: 3148] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 45389 Days: 8 Additional Days: 4497] [PTCA-Case Rate: 17219 Days: 4 Additional Days: 4497]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Oscar Health","Exchange",,,"[Stop Loss: Total Charges > 285049 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 10366] [Normal Vaginal Delivery-Case Rate: 8385] [Nursery  Level 1- Boarder-Per Diem: 1408] [Nursery  Level 2-Per Diem: 2066] [Nursery  Level 3-Per Diem: 2360] [Nursery  Level 4-NICU-Per Diem: 2697] [Rehab-Per Diem: 2476] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 40321] [PTCA-Case Rate: 17045 Days: 8 Additional Days: 4452]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Cc","289","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Hmo/Pos",,,"[Stop Loss: Total Charges > 307779 | Total % of Charge: 59] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 3703] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 53400 Days: 8 Additional Days: 5291] [PTCA-Case Rate: 20258 Days: 4 Additional Days: 5291]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","26658.08",,,,,,,"fee schedule","25881.63","57985.5","MSDRG Base Rate"
"Acute And Subacute Endocarditis With Mcc","288","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Humana","Medicare Managed Care Plan",,,"[Stop Loss: Total Charges > 280996.40 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1586.94] [Rehab-Per Diem: 2866.64] [SNF-Per Diem: 1205.38] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [PTCA-Case Rate: 18334.60] [Trauma-Per Diem: 4042.30]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan","10253.13",,,,,,,"fee schedule","10096.83","21736.64","MSDRG Base Rate"
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Oscar Health","Exchange",,,"[Stop Loss: Total Charges > 285049 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [C-Section-Case Rate: 10366] [Normal Vaginal Delivery-Case Rate: 8385] [Nursery  Level 1- Boarder-Per Diem: 1408] [Nursery  Level 2-Per Diem: 2066] [Nursery  Level 3-Per Diem: 2360] [Nursery  Level 4-NICU-Per Diem: 2697] [Rehab-Per Diem: 2476] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Case Rate: 40321] [PTCA-Case Rate: 17045 Days: 8 Additional Days: 4452]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]","42032.38","42032.38","43384.92","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan","21036.46",,,,,,,"fee schedule","20423.75","45343.03","MSDRG Base Rate"
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Cc","835","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Hmo",,,"[Stop Loss: Total Charges > 258701 | Total % of Charge: 54.13] [Lesser Than Charges paid at %: 100] [Medical-Per Diem: 4009 Days: 1 Additional Days: 3196] [Surgical-Case Rate: 10825] [ICU-Per Diem: 4009] [CCU-Per Diem: 4009] [Step Down-Per Diem: 3345] [C-Section-Per Diem: 4272 Days: 1 Additional Days: 2927] [Normal Vaginal Delivery-Per Diem: 3720 Days: 1 Additional Days: 2927] [Nursery  Level 1- Boarder-Per Diem: 1190] [Nursery  Level 2-Per Diem: 2044] [Nursery  Level 3-Per Diem: 3019] [Nursery  Level 4-NICU-Per Diem: 3264] [Psych-Per Diem: 1448] [Rehab-Per Diem: 2500] [IP High Cost Drugs (%BC): 38] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia With Mcc","834","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Medicare Managed Care Plan",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","46849.32","44965.85","47321.21","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Leukemia With Mcc","834","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Wellcare","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]","51834.12","51834.12","51834.12","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Leukemia Without Cc/Mcc","836","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Healthspring Medicare Managed Care Plan",,,"[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Leukemia Without Cc/Mcc","836","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Kaiser","Ppo",,"70",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Hmo/Pos",,,"[Stop Loss: Total Charges > 302159 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1979] [Psych-Per Diem: 1979] [Rehab-Per Diem: 2455] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 52424 Days: 8 Additional Days: 5194] [PTCA-Per Diem: 19887 Days: 4 Additional Days: 5194] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]","10884.13","10884.13","26607.01","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Clover Health","Medicare Managed Care Plan","12923.6",,,,,,,"fee schedule","11995.53","26093.36","MSDRG Base Rate"
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","12308.19",,,,,,,"fee schedule","11995.53","26093.36","MSDRG Base Rate"
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Devoted Health","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Major Eye Infections Without Cc/Mcc","122","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Wellcare","Medicare Managed Care Plan","9526.42",,,,,,,"fee schedule","6995.59","19052.84","MSDRG Base Rate"
"Acute Major Eye Infections","044","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Ppo",,"72",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Cc","281","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Indemnity Traditional",,"95",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Cc","281","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Humana","Medicare Managed Care Plan",,,"[Stop Loss: Total Charges > 280996.40 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1586.94] [Rehab-Per Diem: 2866.64] [SNF-Per Diem: 1205.38] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [PTCA-Case Rate: 18334.60] [Trauma-Per Diem: 4042.30]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Indemnity Traditional",,"95",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Cigna","Hmo/Pos",,,"[Stop Loss: Total Charges > 166953.75 | Total % of Charge: 65] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Alcohol/ Chemical Dependency-Per Diem: 1376] [Psych-Per Diem: 1376] [Rehab-Per Diem: 3466] [SNF-Per Diem: 1762] [IP High Cost Drugs (%BC): 76] [IP Prosthetics/Implants/Devices (%BC): 76] [Transplants-Case Rate: FEE SCHEDULE]","446586.66","446586.66","446586.66","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Wellcare","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]","16470.21","14365.26","16640.3","1 through 10","other",,,"Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer's algorithm."
"Acute Myocardial Infarction, Expired With Cc","284","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Optum","Ccn Government","8163.76",,,,,,,"fee schedule","7641.21","17307.17","MSDRG Base Rate"
"Acute Myocardial Infarction, Expired With Mcc","283","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Va Community Care Network","Government",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Expired Without Cc/Mcc","285","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Exchange",,,"[Stop Loss: Total Charges > 258976 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Nursery  Level 1- Boarder-Per Diem: 1487] [Nursery  Level 2-Per Diem: 2066] [Nursery  Level 3-Per Diem: 2360] [Nursery  Level 4-NICU-Per Diem: 2697] [Alcohol/ Chemical Dependency-Per Diem: 1696] [Psych-Per Diem: 1696] [Rehab-Per Diem: 2046] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 44934 Days: 8 Additional Days: 4452] [PTCA-Per Diem: 17045 Days: 4 Additional Days: 4452] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Acylcarnitines quant","82017","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Hpn Whole Health Other Commercial Plan","30.37",,,,,,,"fee schedule","12.65","35.76",
"Adenovirus ag if","87260","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Hmo","14.43",,,,,,,"fee schedule","10.82","30.59",
"Admelog: 1 Vial In 1 Carton (0024-5926-05)  / 3 Ml In 1 Vial","5002206_00024592605","CDM","637","RC","A9270","HCPCS","00024592605","NDC","facility","both","1","EA",,"2.06","2.06",,,,,,,,,,,,,"Price is variable based on underlying billing methodology - especially, for drug and supply items."
"Admit For Renal Dialysis","685","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Admit For Renal Dialysis","685","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Wellcare","Medicare Managed Care Plan",,,"[MSDRG Base Rate: FEE SCHEDULE]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Adrc ther prtl rc tear njx","0718T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","3625.53",,,,,,,"fee schedule","2572","7870","APC"
"Adrc ther prtl rc tear njx","0718T","HCPCS",,,,,,,"facility","outpatient",,,,,,"Clover Health","Medicare Managed Care Plan","3732.16",,,,,,,"fee schedule","2572","7870","APC"
"Adrenal And Pituitary Procedures With Cc/Mcc","614","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Clover Health","Medicare Managed Care Plan","22424.08",,,,,,,"fee schedule","21356.27","48378.92","MSDRG Base Rate"
"Adrenal And Pituitary Procedures With Cc/Mcc","614","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Unitedhealthcare","Core/Charter/Nexus Other Commercial Plan","41123.22",,,,,,,"fee schedule","21356.27","48378.92",
"Adrenal And Pituitary Procedures Without Cc/Mcc","615","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Hpn Other Commercial Plan","24431.25",,,,,,,"fee schedule","14384.37","30494.86",
"Adrenal cortex & medulla img","78075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Cigna","Hmo/Pos","545.48",,,,,,,"fee schedule","545.47","3180.48",
"Adrenal cortex & medulla img","78075","HCPCS",,,,,,,"facility","outpatient",,,,,,"Humana","Medicare Managed Care Plan","809.5",,,,,,,"fee schedule","545.47","3180.48",
"Advncd care plan 30 min","99497","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","101.9",,,,,,,"fee schedule","101.9","216.02","APC"
"Aep thrshld est mlt freq i&r","92652","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","220.91",,,,,,,"fee schedule","216.58","459.14","APC"
"Aff2 gene detc abnor alleles","81171","HCPCS",,,,,,,"facility","outpatient",,,,,,"Devoted Health","Medicare Managed Care Plan","137",,,,,,,"fee schedule","102.75","290.44","APC"
"Aftercare With Cc/Mcc","949","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Ppo",,"84.14",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Aftercare With Cc/Mcc","949","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Phcs","All Commercial Plans",,"70",,,,,"0","percent of total billed charges",,,"No services performed during 15-month lookback period."
"Aftercare, Musculoskeletal System And Connective Tissue With Cc","560","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Aetna","Exchange",,,"[Stop Loss: Total Charges > 258976 | Total % of Charge: 55] [Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Nursery  Level 1- Boarder-Per Diem: 1487] [Nursery  Level 2-Per Diem: 2066] [Nursery  Level 3-Per Diem: 2360] [Nursery  Level 4-NICU-Per Diem: 2697] [Alcohol/ Chemical Dependency-Per Diem: 1696] [Psych-Per Diem: 1696] [Rehab-Per Diem: 2046] [IP High Cost Drugs ($): 0 Charge Threshold 1000 (%BC): 76] [IP Prosthetics/Implants/Devices ($): 0 Charge Threshold 400 (%BC): 76] [Cardiac Surgery-Per Diem: 44934 Days: 8 Additional Days: 4452] [PTCA-Per Diem: 17045 Days: 4 Additional Days: 4452] [Transplants-Case Rate: FEE SCHEDULE] [Pancreas Transplant (%BC): 80]",,,,"0","other",,,"No services performed during 15-month lookback period."
"Aftercare, Musculoskeletal System And Connective Tissue With Cc","560","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","12100.74",,,,,,,"fee schedule","11744.91","25399.57","MSDRG Base Rate"
"Aftercare, Musculoskeletal System And Connective Tissue Without Cc/Mcc","561","MS-DRG",,,,,,,"facility","inpatient",,,,,,"Humana","Medicare Managed Care Plan","13673.65",,,,,,,"fee schedule","8432.24","19390.41",
"Ag detect polyval ia mult","87451","HCPCS",,,,,,,"facility","outpatient",,,,,,"Aetna","Medicare Managed Care Plan","10.72",,,,,,,"fee schedule","7.88","22.28","APC"
"Agent nos assay w/optic","87899","HCPCS",,,,,,,"facility","outpatient",,,,,,"Bcbs","Blue Value Secure Medicare Managed Care Plan","16.23",,,,,,,"fee schedule","12.05","34.07","APC"
"Ai ds sle alys 10 cytokine","0446U","HCPCS",,,,,,,"facility","outpatient",,,,,,"Ambetter Health","Peach State Exchange","1782.18",,,,,,,"fee schedule","840.65","1782.18","APC"
