INJ/S JT FCT C/T IMG 2 LVL LT,3241775,CDM,361,RC,64491,CPT,,,facility,outpatient,,,618.00000,221.24000,Quiktrip Corporation,Commercial,LT,333.72,,,,,,,123.60,5506.00,percent of total billed charges,
INJ/S JT FCT C/T IMG 2 LVL LT,3526688,CDM,361,RC,64491,CPT,,,facility,outpatient,,,618.00000,221.24000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,LT,704.56,,,,,,,123.60,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT C/T IMG 2 LVL RT,3241601,CDM,361,RC,64491,CPT,,,facility,inpatient,,,618.00000,221.24000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,278.10,,,,,,,278.10,463.50,percent of total billed charges,
INJ/S JT FCT C/T IMG 2 LVL RT,3241601,CDM,361,RC,64491,CPT,,,facility,outpatient,,,618.00000,221.24000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,278.10,,,,,,,123.60,5506.00,percent of total billed charges,
INJ/S JT FCT C/T IMG 2 LVL RT,3241783,CDM,361,RC,64491,CPT,,,facility,outpatient,,,618.00000,221.24000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,278.10,,,,,,,123.60,5506.00,percent of total billed charges,
INJ/S JT FCT C/T IMG 2 LVL RT,3526696,CDM,361,RC,64491,CPT,,,facility,inpatient,,,618.00000,221.24000,Quiktrip Corporation,Commercial,RT,333.72,,,,,,,278.10,463.50,percent of total billed charges,
INJ/S JT FCT C/T IMG 3+ LVL BI,3241619,CDM,361,RC,64492,CPT,,,facility,outpatient,,,1011.00000,361.94000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,50,880.70,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT C/T IMG 3+ LVL BI,3241791,CDM,361,RC,64492,CPT,,,facility,outpatient,,,1011.00000,361.94000,Health Net,Medicare,50,505.50,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT C/T IMG 3+ LVL BI,3526704,CDM,361,RC,64492,CPT,,,facility,outpatient,,,1011.00000,361.94000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,50,256.97,,,,,,,176.09,5506.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
INJ/S JT FCT C/T IMG 3+ LVL LT,3241627,CDM,361,RC,64492,CPT,,,facility,outpatient,,,674.00000,241.29000,Banner University Health Plan,AZ Medicaid - AHCCCS,LT,176.09,,,,,,,134.80,5506.00,case rate,
INJ/S JT FCT C/T IMG 3+ LVL LT,3241627,CDM,361,RC,64492,CPT,,,facility,outpatient,,,674.00000,241.29000,Mercy Care,Medicaid,LT,176.09,,,,,,,134.80,5506.00,case rate,
INJ/S JT FCT C/T IMG 3+ LVL RT,3241635,CDM,361,RC,64492,CPT,,,facility,outpatient,,,674.00000,241.29000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,RT,739.78,,,,,,,134.80,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT C/T IMG 3+ LVL RT,3241817,CDM,361,RC,64492,CPT,,,facility,outpatient,,,674.00000,241.29000,Banner University Health Plan,AZ Medicaid - AHCCCS,RT,176.09,,,,,,,134.80,5506.00,case rate,
INJ/S JT FCT L/S IMG 1 LVL BI,3241643,CDM,361,RC,64493,CPT,,,facility,inpatient,,,4445.00000,1591.31000,Provider Network of America,Commercial,50,3333.75,,,,,,,2000.25,3333.75,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL BI,3241643,CDM,361,RC,64493,CPT,,,facility,outpatient,,,4445.00000,1591.31000,Aetna,Designated Group,50,4680.00,,,,,,,596.28,5506.00,case rate,
INJ/S JT FCT L/S IMG 1 LVL BI,3526738,CDM,361,RC,64493,CPT,,,facility,inpatient,,,4445.00000,1591.31000,Plotkin Health,Plotkin Health,50,2000.25,,,,,,,2000.25,3333.75,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL LT,3241650,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Aetna,Qualified Health Plan,LT,666.67,,,,,,,592.60,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL LT,3241650,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Provider Network of America,Commercial,LT,2222.25,,,,,,,592.60,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL LT,3241833,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Oscar Health Plan,Commercial,LT,1481.50,,,,,,,592.60,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL RT,3241668,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,"Health Choice Arizona, Inc.",Medicaid,RT,596.28,,,,,,,592.60,5506.00,fee schedule,
INJ/S JT FCT L/S IMG 1 LVL RT,3241668,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Aetna,Joint Venture,RT,4405.00,,,,,,,592.60,5506.00,case rate,
INJ/S JT FCT L/S IMG 1 LVL RT,3241841,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Aetna,Joint Venture,RT,4405.00,,,,,,,592.60,5506.00,case rate,
INJ/S JT FCT L/S IMG 1 LVL RT,3526753,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Aetna,Qualified Health Plan,RT,666.67,,,,,,,592.60,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 1 LVL RT,3526753,CDM,361,RC,64493,CPT,,,facility,outpatient,,,2963.00000,1060.75000,Health Net,Medicare,RT,1481.50,,,,,,,592.60,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL BI,3241676,CDM,361,RC,64494,CPT,,,facility,inpatient,,,2184.00000,781.87000,Quiktrip Corporation,Commercial,50,1179.36,,,,,,,982.80,1638.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL BI,3241676,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Aetna,Medicare Advantage,50,436.80,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL BI,3241676,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,50,704.56,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 2 LVL BI,3241858,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,50,256.97,,,,,,,176.09,5506.00,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
INJ/S JT FCT L/S IMG 2 LVL BI,3241858,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Health Net,Medicare,50,1092.00,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL BI,3241858,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Oscar Health Plan,Commercial,50,1092.00,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL BI,3526761,CDM,361,RC,64494,CPT,,,facility,outpatient,,,2184.00000,781.87000,Arizona Physicians IPA,Medicaid,50,176.09,,,,,,,176.09,5506.00,case rate,
INJ/S JT FCT L/S IMG 2 LVL LT,3241684,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Banner University Health Plan,AZ Medicaid - AHCCCS,LT,176.09,,,,,,,176.09,5506.00,case rate,
INJ/S JT FCT L/S IMG 2 LVL LT,3241684,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Banner University Health Plan,University Family Plan,LT,176.09,,,,,,,176.09,5506.00,case rate,
INJ/S JT FCT L/S IMG 2 LVL LT,3526779,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Arizona Medical Network,Commercial,LT,1019.20,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL LT,3526779,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Health Net,Commerical Exchange Product,LT,786.24,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL LT,3526779,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Health Net,Commerical Exchange Product,LT,786.24,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL LT,3526779,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Health Net,Medicare,LT,728.00,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL RT,3241874,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,RT,880.70,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 2 LVL RT,3241874,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,RT,660.52,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 2 LVL RT,3526787,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,"Health Choice Arizona, Inc.",Medicare Advantage,RT,436.80,,,,,,,176.09,5506.00,percent of total billed charges,
INJ/S JT FCT L/S IMG 2 LVL RT,3526787,CDM,361,RC,64494,CPT,,,facility,outpatient,,,1456.00000,521.25000,United Healthcare,UHC Doctor's Plan,RT,2114.00,,,,,,,176.09,5506.00,case rate,
INJ/S JT FCT L/S IMG 3+ LVL BI,3241700,CDM,361,RC,64495,CPT,,,facility,outpatient,,,2222.00000,795.48000,Aetna,Banner Employee Plans,50,1170.00,,,,,,,176.09,5506.00,case rate,"Multi proc logic: first procedure reimbursed at 100% of contract rate, second procedure reimbursed at 50% of contract rate, subsequent procedures reimbursed at 25% of contract rate."
INJ/S JT FCT L/S IMG 3+ LVL BI,3241700,CDM,361,RC,64495,CPT,,,facility,outpatient,,,2222.00000,795.48000,Blue Cross Blue Shield of Arizona,BXBSAZ Neighborhood,50,660.52,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 3+ LVL BI,3241882,CDM,361,RC,64495,CPT,,,facility,outpatient,,,2222.00000,795.48000,Aetna,Broad Network,50,5506.00,,,,,,,176.09,5506.00,case rate,
INJ/S JT FCT L/S IMG 3+ LVL BI,3241882,CDM,361,RC,64495,CPT,,,facility,outpatient,,,2222.00000,795.48000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,50,880.70,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 3+ LVL LT,3526803,CDM,361,RC,64495,CPT,,,facility,inpatient,,,1481.00000,530.20000,Aetna,Medical Rental,LT,780.49,,,,,,,666.45,1110.75,percent of total billed charges,
INJ/S JT FCT L/S IMG 3+ LVL LT,3526803,CDM,361,RC,64495,CPT,,,facility,outpatient,,,1481.00000,530.20000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,LT,704.56,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 3+ LVL LT,3526803,CDM,361,RC,64495,CPT,,,facility,outpatient,,,1481.00000,530.20000,Blue Cross Blue Shield of Arizona,BCBSAZ Workers Comp,LT,880.70,,,,,,,176.09,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S JT FCT L/S IMG 3+ LVL RT,3526811,CDM,361,RC,64495,CPT,,,facility,inpatient,,,1481.00000,530.20000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,666.45,,,,,,,666.45,1110.75,percent of total billed charges,
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Aetna,Qualified Health Plan,,1290.49,,,,,,,380.62,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,1043.57,,,,,,,380.62,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,948.89,,,,,,,380.62,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,948.89,,,,,,,380.62,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Carelon,Medicare Advantage,,996.33,,,,,,,380.62,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB C/T W IMG,3206307,CDM,361,RC,62325,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Health Net,Medicaid,,596.28,,,,,,,380.62,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB L/S W IMG,3206323,CDM,361,RC,62327,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Banner University Health Plan,AZ Medicaid - AHCCCS,,596.28,,,,,,,392.73,5506.00,fee schedule,
INJ/S PLC CATH EPID/SUB L/S W IMG,3206323,CDM,361,RC,62327,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Blue Cross Blue Shield of Arizona,BXBSAZ Alliance CHS,,1130.59,,,,,,,392.73,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S PLC CATH EPID/SUB L/S W IMG,3206323,CDM,361,RC,62327,CPT,,,facility,outpatient,,,3797.00000,1359.33000,Gila River Health Care Corporation,Managed Care Program,,948.89,,,,,,,392.73,5506.00,fee schedule,
INJ/S SHTH TNDN SGL/LIG/AP BI,3244753,CDM,361,RC,20550,CPT,,,facility,outpatient,,,660.00000,236.28000,Aetna,Designated Group,50,4680.00,,,,,,,132.00,5506.00,case rate,
INJ/S SHTH TNDN SGL/LIG/AP BI,3244753,CDM,361,RC,20550,CPT,,,facility,outpatient,,,660.00000,236.28000,Arizona Medical Network,Commercial,50,462.00,,,,,,,132.00,5506.00,percent of total billed charges,
INJ/S SHTH TNDN SGL/LIG/AP BI,3244753,CDM,361,RC,20550,CPT,,,facility,outpatient,,,660.00000,236.28000,Health Net,Medicaid,50,189.35,,,,,,,132.00,5506.00,case rate,
INJ/S SHTH TNDN SGL/LIG/AP BI,4038733,CDM,361,RC,20550,CPT,,,facility,outpatient,,,660.00000,236.28000,"Health Choice Arizona, Inc.",Medicaid,50,189.35,,,,,,,132.00,5506.00,fee schedule,
INJ/S SHTH TNDN SGL/LIG/AP LT,3244761,CDM,361,RC,20550,CPT,,,facility,inpatient,,,440.00000,157.52000,Plotkin Health,Plotkin Health,LT,198.00,,,,,,,198.00,330.00,percent of total billed charges,
INJ/S SHTH TNDN SGL/LIG/AP LT,4038741,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,"Health Choice Arizona, Inc.",Medicare Advantage,LT,132.00,,,,,,,88.00,5506.00,percent of total billed charges,
INJ/S SHTH TNDN SGL/LIG/AP LT,4038741,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,Aetna,Banner Employee Plans,LT,1170.00,,,,,,,88.00,5506.00,case rate,"Multi proc logic: first procedure reimbursed at 100% of contract rate, second procedure reimbursed at 50% of contract rate, subsequent procedures reimbursed at 25% of contract rate."
INJ/S SHTH TNDN SGL/LIG/AP LT,4038741,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,Arizona Medical Network,Commercial,LT,308.00,,,,,,,88.00,5506.00,percent of total billed charges,
INJ/S SHTH TNDN SGL/LIG/AP RT,3244779,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,"Health Choice Arizona, Inc.",Medicaid,RT,189.35,,,,,,,88.00,5506.00,fee schedule,
INJ/S SHTH TNDN SGL/LIG/AP RT,4038758,CDM,361,RC,20550,CPT,,,facility,inpatient,,,440.00000,157.52000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,RT,198.00,,,,,,,198.00,330.00,percent of total billed charges,
INJ/S SHTH TNDN SGL/LIG/AP RT,4038758,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,Arizona Priority Care,Alignment Health Plans Medicare Advantage/Eternal Health Plan Medicare/SCAN Health Plan Medicare,RT,176.00,,,,,,,88.00,5506.00,percent of total billed charges,For services and procedures not listed Hospital will be reimbursed at 40% of Hospital's billed charges less any applicable co-payments. Implants not included in the Medicare global reimbursement shall be reimbursed at 40% of billed charges.
INJ/S SHTH TNDN SGL/LIG/AP RT,4038758,CDM,361,RC,20550,CPT,,,facility,outpatient,,,440.00000,157.52000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,RT,828.86,,,,,,,88.00,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INJ/S TRIGGER PT/S MUSC/S 1-2,3222536,CDM,361,RC,20552,CPT,,,facility,outpatient,,,440.00000,157.52000,Aetna,Banner Employee Plans,,1170.00,,,,,,,76.25,5506.00,case rate,"Multi proc logic: first procedure reimbursed at 100% of contract rate, second procedure reimbursed at 50% of contract rate, subsequent procedures reimbursed at 25% of contract rate."
INJ/S TRIGGER PT/S MUSC/S 1-2,3222536,CDM,361,RC,20552,CPT,,,facility,outpatient,,,440.00000,157.52000,Plotkin Health,Plotkin Health,,198.00,,,,,,,76.25,5506.00,percent of total billed charges,
INJ/S TRIGGER PT/S MUSC/S 1-2,7635139,CDM,761,RC,20552,CPT,,,facility,outpatient,,,440.00000,227.92000,Oscar Health Plan,Commercial,,519.12,,,,,,,76.25,519.12,fee schedule,
INJ/S TRIGGER PT/S MUSC/S 1-2,7635147,CDM,761,RC,20552,CPT,,,facility,outpatient,,,440.00000,227.92000,"Health Choice Arizona, Inc.",Medicare Advantage,,314.62,,,,,,,76.25,519.12,fee schedule,
INJ/S TRIGGER PT/S MUSC/S 1-2,7635147,CDM,761,RC,20552,CPT,,,facility,outpatient,,,440.00000,227.92000,Care 1st,Medicare Advantage,,314.62,,,,,,,76.25,519.12,fee schedule,
INJ/S TRIGGER PT/S MUSC/S 1-2,7635147,CDM,761,RC,20552,CPT,,,facility,outpatient,,,440.00000,227.92000,TriWest Healthcare Alliance Corp - VA CCN,Tricare,,,,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.",,,,0,76.25,519.12,other,"Outpatient services are paid at 100% of the TRICARE OPPS methodology. The exact rate is variable based on patient specific maternity diagnoses, multiple procedure pricing logic, etc.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
INS CAD CENTRAL TUN 2 CATH W PORT,3220902,CDM,361,RC,36566,CPT,,,facility,outpatient,,,12015.00000,4301.37000,Oscar Health Plan,Commercial,,9506.48,,,,,,,1455.44,13057.00,fee schedule,
INS CAD CENTRAL TUN 2 CATH W PORT,3220902,CDM,361,RC,36566,CPT,,,facility,outpatient,,,12015.00000,4301.37000,UPMC Health Plan,Medicare Advantage,,5761.50,,,,,,,1455.44,13057.00,fee schedule,
INS CAD CENTRAL TUN 2 CATH WO P/P,3220910,CDM,361,RC,36565,CPT,,,facility,inpatient,,,7533.00000,2696.81000,Provider Network of America,Commercial,,5649.75,,,,,,,3389.85,5649.75,percent of total billed charges,
INS CAD CENTRAL TUN 2 CATH WO P/P,3220910,CDM,361,RC,36565,CPT,,,facility,outpatient,,,7533.00000,2696.81000,"Health Choice Arizona, Inc.",Medicare Advantage,,3354.67,,,,,,,1455.44,7467.00,fee schedule,
INS CAD CENTRAL TUN 2 CATH WO P/P,3220910,CDM,361,RC,36565,CPT,,,facility,outpatient,,,7533.00000,2696.81000,Aetna,Medicare Advantage,,3354.67,,,,,,,1455.44,7467.00,fee schedule,
INS CAD CENTRAL TUN 2 CATH WO P/P,3220910,CDM,361,RC,36565,CPT,,,facility,outpatient,,,7533.00000,2696.81000,Quiktrip Corporation,Commercial,,4067.82,,,,,,,1455.44,7467.00,percent of total billed charges,
INS CAD CENTRAL TUN W PORT,3220944,CDM,361,RC,36563,CPT,,,facility,outpatient,,,8217.00000,2941.69000,Arizona Physicians IPA,Medicare Advantage,,5761.50,,,,,,,1455.44,9506.48,fee schedule,
INS CAD CENTRAL TUN W PORT,3220944,CDM,361,RC,36563,CPT,,,facility,outpatient,,,8217.00000,2941.69000,Blue Cross Blue Shield of Arizona,Commercial,,4988.05,,,,,,,1455.44,9506.48,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CAD CENTRAL TUN W PORT,3220944,CDM,361,RC,36563,CPT,,,facility,outpatient,,,8217.00000,2941.69000,Blue Cross Blue Shield of Arizona,Medicare Supplemental Senior Preferred,,1455.44,,,,,,,1455.44,9506.48,fee schedule,"For Outpatient Covered Services in which Medicare has made payment, reimbursement is the remaining balance payable up to the Medicare Allowed Amount. For Outpatient Covered Services in which Medicare has not made payment, reimbursement is the lesser of 100% of Billed Charges or a percentage of the BCBSAZ Outpatient Fee Schedule."
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,inpatient,,,347.00000,124.23000,Aetna,Medical Rental,,182.87,,,,,,,156.15,260.25,percent of total billed charges,
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,outpatient,,,347.00000,124.23000,Blue Cross Blue Shield of Arizona,BCBSAZ Alliance/Blue HPN,,347.74,,,,,,,101.17,5506.00,fee schedule,Reimbursement is lesser of 100% of BC or the BCBSAZ Fee Schedule.
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,outpatient,,,347.00000,124.23000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,166.76,,,,,,,101.17,5506.00,fee schedule,
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,outpatient,,,347.00000,124.23000,Blue Cross Blue Shield of Arizona,Medicare Advantage,,166.76,,,,,,,101.17,5506.00,fee schedule,
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,outpatient,,,347.00000,124.23000,Mercy Care,Medicaid,,101.17,,,,,,,101.17,5506.00,case rate,
INS CATH BLADDER INDWL CMP,7690167,CDM,361,RC,51703,CPT,,,facility,outpatient,,,347.00000,124.23000,National Healthcare Solutions Inc (NHSI) and VIP Universal Medical Insurance Group (VUMI),NHSI VUMI,,156.15,,,,,,,101.17,5506.00,percent of total billed charges,
INS CATH BLADDER INDWL SMPL,3222783,CDM,361,RC,51702,CPT,,,facility,inpatient,,,302.00000,108.12000,Plotkin Health,Plotkin Health,,135.90,,,,,,,135.90,226.50,percent of total billed charges,
INS CATH BLADDER INDWL SMPL,3222783,CDM,361,RC,51702,CPT,,,facility,outpatient,,,302.00000,108.12000,"Cigna Healthcare of Arizona, Inc.",LocalFlex,,360.00,,,,,,,78.55,5506.00,case rate,Multiple procedure logic: 100/50/25
INS CATH BLADDER INDWL SMPL,3228129,CDM,361,RC,51702,CPT,,,facility,outpatient,,,302.00000,108.12000,Aetna,Broad Network,,5506.00,,,,,,,78.55,5506.00,case rate,
INS CATH BLADDER INDWL SMPL,3228129,CDM,361,RC,51702,CPT,,,facility,outpatient,,,302.00000,108.12000,Arizona Physicians IPA,Medicare Advantage,,137.38,,,,,,,78.55,5506.00,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,"Health Choice Arizona, Inc.",Medicare Advantage,,137.38,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,Aetna,Broad Network,,174.25,,,,,,,78.55,269.20,percent of total billed charges,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,Aetna,Medicare Advantage,,137.38,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,Banner University Health Plan,University Family Plan,,81.16,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,Devoted Health Services,Medicare Advantage,,144.25,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,UPMC Health Plan,Medicare Advantage,,137.38,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER INDWL SMPL,7616055,CDM,761,RC,51702,CPT,,,facility,outpatient,,,302.00000,156.44000,United Healthcare,Medicare Advantage,,137.38,,,,,,,78.55,269.20,fee schedule,
INS CATH BLADDER NONINDWL,7616048,CDM,761,RC,51701,CPT,,,facility,outpatient,,,190.00000,98.42000,"Cigna Healthcare of Arizona, Inc.",PPO Medicare Advantage Plan,,137.38,,,,,,,63.84,269.20,fee schedule,
INS CATH BLADDER NONINDWL,7616048,CDM,761,RC,51701,CPT,,,facility,outpatient,,,190.00000,98.42000,Aetna,Banner Employee Plans,,63.84,,,,,,,63.84,269.20,percent of total billed charges,
INS CATH BLADDER NONINDWL,7616048,CDM,761,RC,51701,CPT,,,facility,outpatient,,,190.00000,98.42000,Aetna,Medical Rental,,100.13,,,,,,,63.84,269.20,percent of total billed charges,"Multiple procedure processing -  Primary, Secondary, and Subsequent procedures reimbursed at 100% of contract rate."
INS CATH BLADDER NONINDWL,7617608,CDM,761,RC,51701,CPT,,,facility,outpatient,,,190.00000,98.42000,Arizona Medical Network,Commercial,,133.00,,,,,,,63.84,269.20,percent of total billed charges,
