"MS-DRG 42.00: SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC",511,MS-DRG,,,,,,,facility,inpatient,,,,26847.51000,Prime Health Services,Medicare Advantage,,19108.16,,,,,,,18733.49,43809.28,fee schedule,
"MS-DRG 42.00: SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC",510,MS-DRG,,,,,,,facility,inpatient,,,,36635.95000,Humana,Medicare Advantage,,27846.72,,,,,,,27300.71,63844.23,fee schedule,
"MS-DRG 42.00: SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",512,MS-DRG,,,,,,,facility,inpatient,,,,21731.14000,"Imagine Health, LLC (wka WISE Provider Network)",WISE PPO,,26207.14,,,,,,,15357.79,35915.03,case rate,Charges in excess of 2x the calculated DRG rate will be reimbursed at 80% of in addition to the DRG rate.
"MS-DRG 42.00: SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC",512,MS-DRG,,,,,,,facility,inpatient,,,,21731.14000,Medica,Commercial,,,90.00,,,,,0,15357.79,35915.03,percent of total billed charges,"There were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"MS-DRG 42.00: SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE, MALIGNANCY, INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC",458,MS-DRG,,,,,,,facility,inpatient,,,,61006.06000,NaphCare,Medicare,,65993.23,,,,,,,41245.77,96455.48,fee schedule,
"MS-DRG 42.00: TENDONITIS, MYOSITIS AND BURSITIS WITH MCC",557,MS-DRG,,,,,,,facility,inpatient,,,,20963.68000,Humana,Medicare Advantage,,15098.88,,,,,,,14802.82,34617.19,fee schedule,
"MS-DRG 42.00: TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC",558,MS-DRG,,,,,,,facility,inpatient,,,,11821.52000,NaphCare,Medicare,,13201.71,,,,,,,8251.07,19295.56,fee schedule,
"MS-DRG 42.00: THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC",627,MS-DRG,,,,,,,facility,inpatient,,,,16641.69000,NaphCare,Medicare,,19362.37,,,,,,,12101.48,28300.01,fee schedule,
"MS-DRG 42.00: TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",013,MS-DRG,,,,,,,facility,inpatient,,,,36164.71000,"Imagine Health, LLC (wka WISE Provider Network)",WISE PPO,,43195.00,,,,,,,25312.93,59195.70,case rate,Charges in excess of 2x the calculated DRG rate will be reimbursed at 80% of in addition to the DRG rate.
"MS-DRG 42.00: TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",013,MS-DRG,,,,,,,facility,inpatient,,,,36164.71000,Prime Health Services,Medicare Advantage,,25819.19,,,,,,,25312.93,59195.70,fee schedule,
