"Acute And Subacute Endocarditis With Mcc","288","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Bluechoice Hmo","29114.38","","","","","","","fee schedule","14344.71","29114.38",""
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Blueessentials Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute And Subacute Endocarditis Without Cc/Mcc","290","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Employee","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 900] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Leukemia With Mcc","834","MS-DRG","","","","","facility","inpatient","","","","","","Molina","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Major Eye Infections With Cc/Mcc","121","MS-DRG","","","","","facility","inpatient","","","","","","Lifetrac","Transplant","","","[BMT-Allogeneic related-Case Rate: 148900 Days: 30 Additional Days: 4500] [BMT-Allogeneic unrelated-Case Rate: 192950 Days: 40 Additional Days: 4500] [BMT-Autologous-other-Case Rate: 108050 Days: 25 Additional Days: 4500] [Heart Transplant-Case Rate: 114650 Days: 28 Additional Days: 4500] [Heart/Lung Simul. Transplant-Case Rate: 90900 Days: 18 Additional Days: 4500] [Kidney Transplant-Case Rate: 61750 Days: 12 Additional Days: 4500] [Liver Transplant-Case Rate: 107500 Days: 20 Additional Days: 4500] [Lung Transplant-Double-Case Rate: 170900 Days: 32 Additional Days: 4500] [Lung Transplant-Single-Case Rate: 165375 Days: 28 Additional Days: 4500] [Pancreas Transplant-Case Rate: 77180 Days: 16 Additional Days: 4500]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Major Eye Infections","044","MS-DRG","","","","","facility","inpatient","","","","","","Unitedhealthcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG","","","","","facility","inpatient","","","","","","Clover Health","Medicare Managed Care Plan","16409.87","","","","","","","fee schedule","16088.11","38077.49","MSDRG Base Rate"
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG","","","","","facility","inpatient","","","","","","Lifetrac","Transplant","","","[BMT-Allogeneic related-Case Rate: 148900 Days: 30 Additional Days: 4500] [BMT-Allogeneic unrelated-Case Rate: 192950 Days: 40 Additional Days: 4500] [BMT-Autologous-other-Case Rate: 108050 Days: 25 Additional Days: 4500] [Heart Transplant-Case Rate: 114650 Days: 28 Additional Days: 4500] [Heart/Lung Simul. Transplant-Case Rate: 90900 Days: 18 Additional Days: 4500] [Kidney Transplant-Case Rate: 61750 Days: 12 Additional Days: 4500] [Liver Transplant-Case Rate: 107500 Days: 20 Additional Days: 4500] [Lung Transplant-Double-Case Rate: 170900 Days: 32 Additional Days: 4500] [Lung Transplant-Single-Case Rate: 165375 Days: 28 Additional Days: 4500] [Pancreas Transplant-Case Rate: 77180 Days: 16 Additional Days: 4500]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive With Mcc","280","MS-DRG","","","","","facility","inpatient","","","","","","Unitedhealthcare","Optum Behavioral Health Plan","","","[Lesser Than Charges paid at %: 100] [Psych-Per Diem: 1200]","","","","0","other","","","No services performed during 15-month lookback period."
"Acute Myocardial Infarction, Discharged Alive Without Cc/Mcc","282","MS-DRG","","","","","facility","inpatient","","","","","","Aetna","Medicare Managed Care Plan","8404.29","","","","","","","fee schedule","8404.29","24193.39","MSDRG Base Rate"
"Acute Myocardial Infarction, Discharged Alive Without Cc/Mcc","282","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Employee","10424.41","","","","","","","fee schedule","8404.29","24193.39",""
"Acute Myocardial Infarction, Expired With Mcc","283","MS-DRG","","","","","facility","inpatient","","","","","","Cigna","Healthspring Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Add low ext mec limb vol sys","L5783","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","3386.33","","","","","","","fee schedule","3150.07","3465.08","APC"
"Add proc construct new crown","D2971","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","646.38","","","","","","","fee schedule","601.28","1101.19","APC"
"Add to upp extr user adj mec","L7406","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","3386.33","","","","","","","fee schedule","3150.07","3465.08","APC"
"Add ue prost s/d ultlite mat","L7402","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","493.1","","","","","","","fee schedule","458.7","504.57","APC"
"Addition endoskletl knee-shi","L5841","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","2927.88","","","","","","","fee schedule","2870.47","3157.52","APC"
"Additional switch, ext power","L6611","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","509.7","","","","","","","fee schedule","509.7","560.67","APC"
"Adenosine inj 1mg","J0153","HCPCS","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","1.2","","","","","","","fee schedule","0.6","1.2",""
"Adenovirus antibody","86603","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Bluechoice Hmo","56.33","","","","","","","fee schedule","12.87","56.33",""
"Adm tocilizu covid-19 1st","M0249","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Employee","341.96","","","","","","","fee schedule","249.1","671.39",""
"Admin pneumococcal vaccine","G0009","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Blueessentials Exchange","42.44","","","","","","","fee schedule","40.32","108.68",""
"Admin pneumococcal vaccine","G0009","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","State Other Commercial Plan","73.44","","","","","","","fee schedule","40.32","108.68",""
"Admit For Renal Dialysis","685","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","State Other Commercial Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Psych-Per Diem: 1200] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Admn sarscov2 vacc 1 dose","90480","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","State Other Commercial Plan","42.84","","","","","","","fee schedule","23.2","62.53",""
"Adrc ther prtl rc tear njx","0718T","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","3295.94","","","","","","","fee schedule","3295.94","3625.53","APC"
"Adrenal And Pituitary Procedures With Cc/Mcc","614","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Bluechoice Exchange","29873.13","","","","","","","fee schedule","21213.85","57599.71",""
"Adrenal And Pituitary Procedures Without Cc/Mcc","615","MS-DRG","","","","","facility","inpatient","","","","","","Wellcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Adult electric hook","L7009","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","4384.27","","","","","","","fee schedule","4298.3","4728.13","APC"
"Aep neurodiagnostic i&r","92653","HCPCS","","","","","facility","outpatient","","","","","","Bcbs","Employee","391.68","","","","","","","fee schedule","200.83","768.81",""
"Aep thrshld est mlt freq i&r","92652","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","215.89","","","","","","","fee schedule","200.83","768.81","APC"
"Aerosol inhalation treatment","94642","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","203.67","","","","","","","fee schedule","148.81","401.07","APC"
"Aerosol inhalation treatment","94642","HCPCS","","","","","facility","outpatient","","","","","","Clover Health","Medicare Managed Care Plan","207.74","","","","","","","fee schedule","148.81","401.07","APC"
"Afamelanotide implant, 1 mg","J7352","HCPCS","","","","","facility","outpatient","","","","","","Unitedhealthcare","All Commercial Plans","6177.66","","","","","","","fee schedule","2068.65","6177.66",""
"Afo molded to patient plasti","L1940","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","614.33","","","","","","","fee schedule","614.33","675.76","APC"
"Afo plastic","L1930","HCPCS","","","","","facility","outpatient","","","","","","Absolute Total Care","Ambetter Exchange","292.23","","","","","","","fee schedule","271.84","299.02","APC"
"Afo pos solid ank plastic mo","L1960","HCPCS","","","","","facility","outpatient","","","","","","Molina","Exchange","700.65","","","","","","","fee schedule","636.95","700.64","APC"
"Afo sprng wir drsflx calf bd","L1900","HCPCS","","","","","facility","outpatient","","","","","","Aetna","Medicare Managed Care Plan","347.57","","","","","","","fee schedule","347.57","382.33","APC"
"Aftercare, Musculoskeletal System And Connective Tissue With Cc","560","MS-DRG","","","","","facility","inpatient","","","","","","Wellcare","Medicare Managed Care Plan","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE]","11206.48","11206.48","11206.48","1 through 10","other","","","Contracting method is an algorithm described in the 'standard_charges|algorithm' field. The allowed amount provided accounts for the structural rates, conditions, and utilization elements inherent in the payer’s algorithm."
"Aftercare, Musculoskeletal System And Connective Tissue Without Cc/Mcc","561","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Blueessentials Exchange","","","[Lesser Than Charges paid at %: 100] [MSDRG Base Rate: FEE SCHEDULE] [Transplants-Case Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
"Aftercare, Musculoskeletal System And Connective Tissue Without Cc/Mcc","561","MS-DRG","","","","","facility","inpatient","","","","","","Bcbs","Medicare Managed Care Plan","","","[MSDRG Base Rate: FEE SCHEDULE]","","","","0","other","","","No services performed during 15-month lookback period."
