"ALBUMIN, HUMAN 5 % INTRAVENOUS SOLUTION",RX-8982,CDM,636,RC,P9045,HCPCS,68516521401,NDC,facility,outpatient,250,ML,245.60000,147.36000,United Healthcare,CHIP/Medicaid,,68.08,,,,,,,51.49,212.47,percent of total billed charges,
"ALBUMIN, HUMAN-KJDA 25 % INTRAVENOUS SOLUTION",RX-186126,CDM,636,RC,P9047,HCPCS,64208251203,NDC,facility,inpatient,50,ML,330.75000,198.45000,Aetna,Commercial,,191.84,,,,,,,83.68,4481.00,percent of total billed charges,"Paid In Addition to Other Negotiated Rates for all of the listed billing codes, when the sum of the listed billing codes on the claim is greater than $4,270.00."
"ALBUMIN, HUMAN-KJDA 25 % INTRAVENOUS SOLUTION",RX-186126,CDM,636,RC,P9047,HCPCS,64208251203,NDC,facility,outpatient,50,ML,330.75000,198.45000,Optum,CHIP/Managed Medicaid,,91.68,,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.",,,,0,76.73,286.13,percent of total billed charges,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"ALBUMIN, HUMAN-KJDA 25 % INTRAVENOUS SOLUTION",RX-186126,CDM,636,RC,P9047,HCPCS,64208251203,NDC,facility,outpatient,50,ML,330.75000,198.45000,Optum,Commercial,,178.60,,,,,,,76.73,286.13,percent of total billed charges,
"ALBUMIN, HUMAN-KJDA 25 % INTRAVENOUS SOLUTION",RX-186126,CDM,636,RC,P9047,HCPCS,64208251207,NDC,facility,outpatient,50,ML,330.75000,198.45000,BCBS NC,Blue Select/HMO/PPO,,162.23,,,,,,,76.73,286.13,percent of total billed charges,
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,facility,inpatient,,,,,Partners,Medicaid,,1371.95,,,,,,,1096.00,26005.99,per diem,
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY",895,MS-DRG,,,,,,,facility,inpatient,,,,,Vaya,Medicaid,,1534.30,,,,,,,1096.00,26005.99,per diem,
"ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC",896,MS-DRG,,,,,,,facility,inpatient,,,,,Healthy Blue NC,Managed Medicaid,,1331.99,,,,,,,1096.00,32059.23,per diem,
"ALPHA-1-PROTEINASE INHIBITOR (HUMAN) 1,000 MG (+/-) IV SOLN WRAPPER",RX-4081031236,CDM,636,RC,J0256,HCPCS,13533070511,NDC,facility,outpatient,1,UN,65.00000,39.00000,Alliance,Medicaid,,18.02,,,,,,,5.30,786.45,percent of total billed charges,
"ALVEOLECTOMY, INCLUDING CURETTAGE OF OSTEITIS OR SEQUESTRECTOMY",360,RC,41830,CPT,,,,,facility,outpatient,,,,,United Healthcare,Medicare Advantage,,3305.32,,,,,,,3053.48,9324.00,fee schedule,
"AMIODARONE 150 MG/100 ML (1.5 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",RX-110257,CDM,636,RC,J0283,HCPCS,43066015010,NDC,facility,outpatient,100,ML,195.25000,117.15000,BCBS NC,Blue Value Group,,117.85,,,,,,,5.87,168.91,percent of total billed charges,
"AMIODARONE 360 MG/200 ML (1.8 MG/ML) IN DEXTROSE, ISO-OSMOTIC IV",RX-110258,CDM,636,RC,J0283,HCPCS,43066036020,NDC,facility,inpatient,200,ML,239.05000,143.43000,Evernorth (Cigna Behavioral Health),Commercial,,191.24,,,,,,,60.48,4481.00,percent of total billed charges,"If a covered service does not have a specified rate, reimbursement will be 80% of charges, subject to a standard reasonable and customary screening."
"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANY JOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; WITH DIRECT CLOSURE",360,RC,26951,CPT,,,,,facility,outpatient,,,,,Aetna,Commercial,,7278.00,,,,,,,3012.00,7278.00,case rate,
"AMPUTATION, FINGER OR THUMB, PRIMARY OR SECONDARY, ANY JOINT OR PHALANX, SINGLE, INCLUDING NEURECTOMIES; WITH DIRECT CLOSURE",361,RC,26951,CPT,,,,,facility,outpatient,,,,,Cigna,Commercial,,5152.00,,,,,,,3012.00,7278.00,case rate,
"AMPUTATION, TOE; METATARSOPHALANGEAL JOINT",360,RC,28820,CPT,,,,,facility,outpatient,,,,,Liberty Medicare Advantage,Medicare Advantage,,3306.88,,,,,,,3054.93,9324.00,fee schedule,
"ANASTOMOSIS, OF INTRAHEPATIC DUCTS AND GASTROINTESTINAL TRACT",750,RC,47765,CPT,,,,,facility,outpatient,,,,,United Healthcare,Commercial,,4850.00,,,,,,,2533.00,4850.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
"ANORECTAL EXAM, SURGICAL, REQUIRING ANESTHESIA (GENERAL, SPINAL, OR EPIDURAL), DIAGNOSTIC",360,RC,45990,CPT,,,,,facility,outpatient,,,,,Aetna,Commercial,,7278.00,,,,,,,2582.07,7278.00,case rate,
"ANORECTAL EXAM, SURGICAL, REQUIRING ANESTHESIA (GENERAL, SPINAL, OR EPIDURAL), DIAGNOSTIC",750,RC,45990,CPT,,,,,facility,outpatient,,,,,WellCare of North Carolina,Medicare Advantage,,2795.03,,,,,,,2582.07,7278.00,fee schedule,
"ANOSCOPY; WITH DILATION (EG, BALLOON, GUIDE WIRE, BOUGIE)",360,RC,46604,CPT,,,,,facility,outpatient,,,,,Alignment,Medicare Advantage,,1144.49,,,,,,,1110.16,5449.00,fee schedule,
"ANTERIOR COLPORRHAPHY, REPAIR OF CYSTOCELE WITH OR WITHOUT REPAIR OF URETHROCELE, INCLUDING CYSTOURETHROSCOPY, WHEN PERFORMED",360,RC,57240,CPT,,,,,facility,outpatient,,,,,United Healthcare,Medicare Advantage,,5031.19,,,,,,,4647.86,13194.00,fee schedule,
"ANTI-INHIBITOR COAGULANT COMPLEX 700 UNIT-1,300 UNIT INTRAVENOUS SOLN",RX-187584,CDM,636,RC,J7198,HCPCS,64193042402,NDC,facility,outpatient,1,UN,86.30000,51.78000,Trillium,Medicaid,,24.16,,,,,,,2.34,332.22,percent of total billed charges,
"ANTI-INHIBITOR COAGULANT COMPLEX 700 UNIT-1,300 UNIT INTRAVENOUS SOLN",RX-187584,CDM,636,RC,J7198,HCPCS,64193042402,NDC,facility,outpatient,1,UN,86.30000,51.78000,Vaya,Medicaid,,24.64,,,,,,,2.34,332.22,percent of total billed charges,
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-24926,CDM,636,RC,J7192,HCPCS,00944284310,NDC,facility,inpatient,1,UN,83.75000,50.25000,Aetna,Commercial,,48.58,,,,,,,21.19,4481.00,percent of total billed charges,"Paid In Addition to Other Negotiated Rates for all of the listed billing codes, when the sum of the listed billing codes on the claim is greater than $4,270.00."
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-24926,CDM,636,RC,J7192,HCPCS,00944284310,NDC,facility,outpatient,1,UN,83.75000,50.25000,Alliance,Medicaid,,23.22,,,,,,,1.56,216.09,percent of total billed charges,
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-24926,CDM,636,RC,J7192,HCPCS,00944284310,NDC,facility,outpatient,1,UN,83.75000,50.25000,Optum,CHIP/Managed Medicaid,,23.22,,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.",,,,0,1.56,216.09,percent of total billed charges,"Coverage by Optum Transplant limited to services related to transplants, MCSD/LVAD, and CAR-T. Coverage starts on a member's effective date, which is a date pre-determined by Optum when relevant services begin. Coverage ends at the sooner of the Optum case close date or 1) one year after the discharge date of a solid organ transplant, 2) up to one year from the date of the last HSC outpatient infusion, or 3) up to one year after the CAR-T infusion, or 4) up to one year after the discharge date of MCSD surgery.; there were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"ANTIHEMOPHILIC FACTOR (RECOMB) 1,000 (+/-) UNIT INTRAVENOUS SOLUTION",RX-24926,CDM,636,RC,J7192,HCPCS,00944284310,NDC,facility,outpatient,1,UN,83.75000,50.25000,Optum,VACCN,,1.61,,,,,,,1.56,216.09,fee schedule,
"ANTIHEMOPHILIC FACTOR 1,501 UNIT-2,000 UNIT INTRAVENOUS POWDR FOR SOLN",RX-111060,CDM,636,RC,J7190,HCPCS,00944394602,NDC,facility,outpatient,1,UN,82.70000,49.62000,Carolina Complete Health,Managed Medicaid,,22.92,,,,,,,1.06,154.35,percent of total billed charges,
"ANTIHEMOPHILIC FACTOR 801 UNIT-1,500 UNIT INTRAVENOUS POWDER FOR SOLN",RX-111059,CDM,636,RC,J7190,HCPCS,00944394402,NDC,facility,outpatient,1,UN,82.70000,49.62000,United Healthcare,Individual Exchange,,3.75,,,,,,,1.06,154.35,fee schedule,"Unless otherwise indicated in the Facility Fee Schedule Specifications, codes for a Separately Reimbursable Drug not yet listed on the fee schedule or listed on the fee schedule will default to a contract rate of 50% PPR."
"ANTIHEMOPHILIC FACTOR VIII, FULL LENGTH 500 (+/-) UNIT IV SOLUTION",RX-76366,CDM,636,RC,J7192,HCPCS,00944305202,NDC,facility,outpatient,1,UN,83.75000,50.25000,Trillium,Medicaid,,23.45,,,,,,,1.56,216.09,percent of total billed charges,
"ANTIHEMOPHILIC FACTOR VIII,REC B-DOMAIN DELETED 1,000 (+/-) UNIT IV SOLN",RX-93027,CDM,636,RC,J7185,HCPCS,58394001401,NDC,facility,outpatient,1,UN,83.60000,50.16000,Optum,VACCN,,1.67,,,,,,,1.62,207.27,fee schedule,
"ANTIHEMOPHILIC FACTOR VIII,REC B-DOMAIN DELETED 250 (+/-) UNIT IV SOLN",RX-93025,CDM,636,RC,J7185,HCPCS,58394001201,NDC,facility,outpatient,1,UN,83.60000,50.16000,BCBS NC,Blue Select/HMO/PPO,,207.27,,,,,,,1.62,207.27,fee schedule,
"ANTIHEMOPHILIC FACTOR VIII,REC B-DOMAIN DELETED 250 (+/-) UNIT IV SOLN",RX-93025,CDM,636,RC,J7185,HCPCS,58394001201,NDC,facility,outpatient,1,UN,83.60000,50.16000,WellCare of North Carolina,Medicare Advantage,,1.75,,,,,,,1.62,207.27,fee schedule,
"ANTIHEMOPHILIC FACTOR VIII,REC B-DOMAIN DELETED 500 (+/-) UNIT IV SOLN",RX-93026,CDM,636,RC,J7185,HCPCS,58394001301,NDC,facility,inpatient,1,UN,83.60000,50.16000,United Healthcare,Individual Exchange,,21.15,,,,,,,21.15,4481.00,percent of total billed charges,"Contract rate for High Cost Drugs that have eligible charges greater than $4,351.00."
"ANTIHEMOPHILIC FACTOR VIII,REC B-DOMAIN DELETED 500 (+/-) UNIT IV SOLN",RX-93026,CDM,636,RC,J7185,HCPCS,58394001301,NDC,facility,outpatient,1,UN,83.60000,50.16000,United Healthcare,CHIP/Medicaid,,23.17,,,,,,,1.62,207.27,percent of total billed charges,
"ANTIHEMOPHILIC FACTOR-VWF 1,000 (400 VWF) UNIT/10 ML INTRAVENOUS SOLN",RX-88337,CDM,636,RC,J7186,HCPCS,68516460702,NDC,facility,inpatient,1,UN,81.75000,49.05000,Optum,Commercial,,4481.00,,,,,,,20.68,4481.00,per diem,Hospital will be paid lesser of 85% Billed Charges or the per diem rate.
"ANTIHEMOPHILIC FACTOR-VWF 1,000 (400 VWF) UNIT/10 ML INTRAVENOUS SOLN",RX-88337,CDM,636,RC,J7186,HCPCS,68516460702,NDC,facility,outpatient,1,UN,81.75000,49.05000,Alliance,Medicaid,,22.66,,,,,,,1.21,166.11,percent of total billed charges,
"ANTIHEMOPHILIC FVIII,REC B-DOMAIN DELETED 1,000 (+/-) UNIT IV SYRINGE",RX-129917,CDM,636,RC,J7185,HCPCS,58394002403,NDC,facility,inpatient,1,UN,83.60000,50.16000,Aetna,Commercial,,48.49,,,,,,,21.15,4481.00,percent of total billed charges,"Paid In Addition to Other Negotiated Rates for all of the listed billing codes, when the sum of the listed billing codes on the claim is greater than $4,270.00."
"ANTIHEMOPHILIC FVIII,REC B-DOMAIN DELETED 1,000 (+/-) UNIT IV SYRINGE",RX-129917,CDM,636,RC,J7185,HCPCS,58394002403,NDC,facility,outpatient,1,UN,83.60000,50.16000,Partners,Medicaid,,23.17,,,,,,,1.62,207.27,percent of total billed charges,
"ANTIHEMOPHILIC FVIII,REC B-DOMAIN DELETED 1,000 (+/-) UNIT IV SYRINGE",RX-129917,CDM,636,RC,J7185,HCPCS,58394002403,NDC,facility,outpatient,1,UN,83.60000,50.16000,United Healthcare,CHIP/Medicaid,,23.17,,,,,,,1.62,207.27,percent of total billed charges,
"APPLICATION OF CRANIAL TONGS, CALIPER, OR STEREOTACTIC FRAME, INCLUDING REMOVAL (SEPARATE PROCEDURE)",360,RC,20660,CPT,,,,,facility,outpatient,,,,,Alignment,Medicare Advantage,,1553.45,,,,,,,1506.85,7278.00,fee schedule,
"APPLICATION OF CRANIAL TONGS, CALIPER, OR STEREOTACTIC FRAME, INCLUDING REMOVAL (SEPARATE PROCEDURE)",360,RC,20660,CPT,,,,,facility,outpatient,,,,,BCBS NC,Medicare Advantage,,1506.85,,,,,,,1506.85,7278.00,fee schedule,
"APPLICATION OF CRANIAL TONGS, CALIPER, OR STEREOTACTIC FRAME, INCLUDING REMOVAL (SEPARATE PROCEDURE)",360,RC,20660,CPT,,,,,facility,outpatient,,,,,Humana,Medicare PPO,,1631.12,,,,,,,1506.85,7278.00,fee schedule,
"APPLICATION OF INTERDENTAL FIXATION DEVICE FOR CONDITIONS OTHER THAN FRACTURE OR DISLOCATION, INCLUDES REMOVAL",360,RC,21110,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,1509.71,,,,,,,1394.69,5449.00,fee schedule,
"APPLICATION OF LOW COST SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; FIRST 100 SQ CM WOUND SURFACE AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN",360,RC,C5277,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,623.88,,,,,,,576.34,7278.00,fee schedule,
"APPLICATION OF LOW COST SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; FIRST 25 SQ CM OR LESS WOUND SURFACE AREA",360,RC,C5271,CPT,,,,,facility,outpatient,,,,,Aetna,Commercial,,7278.00,,,,,,,576.34,7278.00,case rate,
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; EACH ADDITIONAL 100 SQ CM WOUND SURFACE AREA, OR PART THEREOF, OR EACH ADDITIONAL 1% OF BODY AREA OF INFANTS AND CHILDREN, OR PART THEREOF (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",360,RC,15278,CPT,,,,,facility,outpatient,,,,,United Healthcare,Individual Exchange,,777.00,,,,,,,777.00,5449.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; FIRST 100 SQ CM WOUND SURFACE AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN",360,RC,15277,CPT,,,,,facility,outpatient,,,,,United Healthcare,Individual Exchange,,3012.00,,,,,,,1722.29,7278.00,case rate,"Multiple Outpatient Procedures will be reimbursed at 100% for the highest allowable procedure, 50% for the second highest allowable procedure, and 25% for the third highest allowable procedure. Any additional procedures will not be reimbursed."
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO FACE, SCALP, EYELIDS, MOUTH, NECK, EARS, ORBITS, GENITALIA, HANDS, FEET, AND/OR MULTIPLE DIGITS, TOTAL WOUND SURFACE AREA UP TO 100 SQ CM; EACH ADDITIONAL 25 SQ CM WOUND SURFACE AREA, OR PART THEREOF (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",360,RC,15276,CPT,,,,,facility,outpatient,,,,,Cigna,Commercial,,,23.30,,,,,0,777.00,5449.00,percent of total billed charges,"There were no paid claims found for this combination of service, payer, and plan within the prior 12-15 months of this file's publishing"
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; FIRST 100 SQ CM WOUND SURFACE AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN",360,RC,15273,CPT,,,,,facility,outpatient,,,,,Cigna,Commercial,,4121.00,,,,,,,3446.95,13194.00,case rate,
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; FIRST 100 SQ CM WOUND SURFACE AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN",360,RC,15273,CPT,,,,,facility,outpatient,,,,,Humana,Medicare HMO,,3731.24,,,,,,,3446.95,13194.00,fee schedule,
"APPLICATION OF SKIN SUBSTITUTE GRAFT TO TRUNK, ARMS, LEGS, TOTAL WOUND SURFACE AREA GREATER THAN OR EQUAL TO 100 SQ CM; FIRST 100 SQ CM WOUND SURFACE AREA, OR 1% OF BODY AREA OF INFANTS AND CHILDREN",361,RC,15273,CPT,,,,,facility,outpatient,,,,,Humana,Medicare PPO,,3731.24,,,,,,,3446.95,13194.00,fee schedule,
