"ALLOGRAFT BONE 2.5CC OSTEOAMP SELECT FIBER","SUP-ITM-10269003","CDM","C1889","HCPCS","0278","RC","","","","both","","","2430.00","1822.50","CENTERS OF EXCELLENCE [1026]","HB AMC TRANSPLANT OPTUM HEALTH","1701.00","70","","6276.60","6276.60","6276.60","1 through 10","753.3","1931.85","percent of total billed charges",""
"ALLOGRAFT BONE 2.5CC OSTEOAMP SELECT FIBER","SUP-ITM-10269003","CDM","C1889","HCPCS","0278","RC","","","","both","","","2430.00","1822.50","WELLPOINT [1015]","HB AMC WELLPOINT","1792.85","73.78","","2748.27","838.74","10335.79","65","753.3","1931.85","percent of total billed charges",""
"ALLOGRAFT BONE 2.5CC OSTEOAMP SELECT FLOWABLE","SUP-ITM-10282971","CDM","C1889","HCPCS","0278","RC","","","","both","","","2797.50","2098.12","CIGNA [1006]","HB AMC CIGNA HMO / PPO","2224.01","79.5","","2835.06","711.78","6049.93","13","867.23","2224.01","percent of total billed charges",""
"ALLOGRAFT BONE 5CC OSTEOAMP FIBER SELECT","SUP-ITM-10269004","CDM","C1889","HCPCS","0278","RC","","","","both","","","4086.95","3065.21","HEALTH NEW ENGLAND [1034]","HB AMC CLARITEV (PRIMARY PPO)","3146.95","77","","3441.90","3441.90","3441.90","1 through 10","1266.95","3249.13","percent of total billed charges",""
"ALLOGRAFT BONE 5CC OSTEOAMP FIBER SELECT","SUP-ITM-10269004","CDM","C1889","HCPCS","0278","RC","","","","both","","","4086.95","3065.21","UNITED HEALTHCARE [1016]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","1753.30","42.9","","3081.49","192.04","11493.79","1 through 10","1266.95","3249.13","percent of total billed charges",""
"ALLOGRAFT MATRIX 3X8CM PLACENTAL HUMAN DECELLULARIZED CENTAFLEX","SUP-ITM-10293118","CDM","C1889","HCPCS","0278","RC","","","","outpatient","","","11000.00","8250.00","UNITED HEALTHCARE [1016]","HB AMC UNITED PPO / POS","8989.20","81.72","","4878.68","1531.26","6401.46","44","5500","8989.2","percent of total billed charges",""
"ANCHOR ALL-SUTURE 1.8MM Q-FIX KNOTLESS W/1 MT SUT BL","SUP-ITM-10328390","CDM","C1713","HCPCS","0278","RC","","","","both","","","1732.50","1299.37","MGB HEALTH PLAN [150001]","HB AMC MGBHP COMMERCIAL GIC","537.08","31","","854.00","854.00","854.00","1 through 10","537.08","1377.34","percent of total billed charges",""
"ANCHOR BONE 12MM VERTEBRAL BODY","SUP-ITM-10297307","CDM","C1713","HCPCS","0278","RC","","","","both","","","2800.00","2100.00","HEALTH NEW ENGLAND [1034]","HB AMC CLARITEV (PRIMARY PPO)","2156.00","77","","583.72","583.72","4677.75","24","868","2226","percent of total billed charges",""
"ANCHOR BONE 12MM VERTEBRAL BODY","SUP-ITM-10297307","CDM","C1713","HCPCS","0278","RC","","","","both","","","2800.00","2100.00","UNITED HEALTHCARE ALTERNATE [1020]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","1201.20","42.9","","799.05","799.05","799.05","1 through 10","868","2226","percent of total billed charges",""
"ANCHOR HEALIX TRANSTEND TITANIUM 2 PERCANNULA SYSTEM","SUP-ITM-10148717","CDM","C1713","HCPCS","0278","RC","","","","both","","","2978.50","2233.87","UNITED HEALTHCARE ALTERNATE [1020]","HB AMC CH UNITED NEW BUSINESS DISCOUNT","1277.78","42.9","","799.05","799.05","799.05","1 through 10","923.34","2367.91","percent of total billed charges",""
