facility,"EXPANDER, TISSUE RECTANGULAR 4 X 6CM 75CC",SUP-55539,CDM,,,0270,RC,,,,outpatient,,,3315,1326,1425.45,3523.46,,1819.94,,,,,,,percent of total billed charges,,2327.13,,,,,,,percent of total billed charges,,1584.24,,,,,,,percent of total billed charges,,,,,,,,,,,2486.25,,,,,,,percent of total billed charges,,,,,,,,,,,2486.25,,,,,,,percent of total billed charges,,2419.95,,,,,,,percent of total billed charges,,1902.81,,,,,,,percent of total billed charges,,2161.38,,,,,,,percent of total billed charges,,1524.9,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.19,,,,,,,percent of total billed charges,,2751.45,,,,,,,percent of total billed charges,,1425.45,,,,,,,percent of total billed charges,,1657.5,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,2526.03,,,,,,,percent of total billed charges,,1912.76,,,,,,,percent of total billed charges,,2486.25,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2486.25,,,,,,,percent of total billed charges,,1723.8,,,,,,,percent of total billed charges,,1558.05,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,1989,,,,,,,percent of total billed charges,,3523.46,,,,,,,percent of total billed charges,,1584.24,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXPANDER, TISSUE RECTANGULAR 5 X 8CM 125CC",SUP-T11802,CDM,,,0270,RC,,,,inpatient,,,3128,1251.2,1345.04,3324.7,,1717.27,,,,,,,percent of total billed charges,,2195.85,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,2346,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,2346,,,,,,,percent of total billed charges,,2283.44,,,,,,,percent of total billed charges,,1795.47,,,,,,,percent of total billed charges,,2039.45,,,,,,,percent of total billed charges,,1438.88,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186.47,,,,,,,percent of total billed charges,,2596.24,,,,,,,percent of total billed charges,,1345.04,,,,,,,percent of total billed charges,,1564,,,,,,,percent of total billed charges,,2189.6,,,,,,,percent of total billed charges,,2383.54,,,,,,,percent of total billed charges,,1804.86,,,,,,,percent of total billed charges,,2346,,,,,,,percent of total billed charges,,2658.8,,,,,,,percent of total billed charges,,2658.8,,,,,,,percent of total billed charges,,2346,,,,,,,percent of total billed charges,,1626.56,,,,,,,percent of total billed charges,,1470.16,,,,,,,percent of total billed charges,,2189.6,,,,,,,percent of total billed charges,,2658.8,,,,,,,percent of total billed charges,,2189.6,,,,,,,percent of total billed charges,,1876.8,,,,,,,percent of total billed charges,,3324.7,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXPANDER, TISSUE RECTANGULAR 7 X 12CM 290CC",SUP-69425,CDM,,,0270,RC,,,,outpatient,,,3315,1326,1425.45,3523.46,,1819.94,,,,,,,percent of total billed charges,,2327.13,,,,,,,percent of total billed charges,,1584.24,,,,,,,percent of total billed charges,,,,,,,,,,,2486.25,,,,,,,percent of total billed charges,,,,,,,,,,,2486.25,,,,,,,percent of total billed charges,,2419.95,,,,,,,percent of total billed charges,,1902.81,,,,,,,percent of total billed charges,,2161.38,,,,,,,percent of total billed charges,,1524.9,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2317.19,,,,,,,percent of total billed charges,,2751.45,,,,,,,percent of total billed charges,,1425.45,,,,,,,percent of total billed charges,,1657.5,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,2526.03,,,,,,,percent of total billed charges,,1912.76,,,,,,,percent of total billed charges,,2486.25,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2486.25,,,,,,,percent of total billed charges,,1723.8,,,,,,,percent of total billed charges,,1558.05,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,2817.75,,,,,,,percent of total billed charges,,2320.5,,,,,,,percent of total billed charges,,1989,,,,,,,percent of total billed charges,,3523.46,,,,,,,percent of total billed charges,,1584.24,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXPANDER, TISSUE SOFTSPAN KIDNEY SMTH 14 X 9CM 270-675CC",SUP-75709,CDM,,,0270,RC,,,,outpatient,,,2380,952,1023.4,2529.66,,1306.62,,,,,,,percent of total billed charges,,1670.76,,,,,,,percent of total billed charges,,1137.4,,,,,,,percent of total billed charges,,,,,,,,,,,1785,,,,,,,percent of total billed charges,,,,,,,,,,,1785,,,,,,,percent of total billed charges,,1737.4,,,,,,,percent of total billed charges,,1366.12,,,,,,,percent of total billed charges,,1551.76,,,,,,,percent of total billed charges,,1094.8,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.62,,,,,,,percent of total billed charges,,1975.4,,,,,,,percent of total billed charges,,1023.4,,,,,,,percent of total billed charges,,1190,,,,,,,percent of total billed charges,,1666,,,,,,,percent of total billed charges,,1813.56,,,,,,,percent of total billed charges,,1373.26,,,,,,,percent of total billed charges,,1785,,,,,,,percent of total billed charges,,2023,,,,,,,percent of total billed charges,,2023,,,,,,,percent of total billed charges,,1785,,,,,,,percent of total billed charges,,1237.6,,,,,,,percent of total billed charges,,1118.6,,,,,,,percent of total billed charges,,1666,,,,,,,percent of total billed charges,,2023,,,,,,,percent of total billed charges,,1666,,,,,,,percent of total billed charges,,1428,,,,,,,percent of total billed charges,,2529.66,,,,,,,percent of total billed charges,,1137.4,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXTENSION, KNEE STRAIGHT SEGMENTAL SYSTEM 18 X 130MM",SUP-73883,CDM,C1776,HCPCS,0278,RC,,,,outpatient,,,11965.45,4786.18,5145.14,12717.88,,6569.03,,,,,,,percent of total billed charges,,8399.75,,,,,,,percent of total billed charges,,5718.29,,,,,,,percent of total billed charges,,,,,,,,,,,8974.09,,,,,,,percent of total billed charges,,,,,,,,,,,8974.09,,,,,,,percent of total billed charges,,8734.78,,,,,,,percent of total billed charges,,6868.17,,,,,,,percent of total billed charges,,7801.47,,,,,,,percent of total billed charges,,5504.11,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8363.85,,,,,,,percent of total billed charges,,9931.32,,,,,,,percent of total billed charges,,5145.14,,,,,,,percent of total billed charges,,5982.73,,,,,,,percent of total billed charges,,8375.82,,,,,,,percent of total billed charges,,9117.67,,,,,,,percent of total billed charges,,6904.06,,,,,,,percent of total billed charges,,8974.09,,,,,,,percent of total billed charges,,10170.63,,,,,,,percent of total billed charges,,10170.63,,,,,,,percent of total billed charges,,8974.09,,,,,,,percent of total billed charges,,6222.03,,,,,,,percent of total billed charges,,5623.76,,,,,,,percent of total billed charges,,8375.82,,,,,,,percent of total billed charges,,10170.63,,,,,,,percent of total billed charges,,8375.82,,,,,,,percent of total billed charges,,7179.27,,,,,,,percent of total billed charges,,12717.88,,,,,,,percent of total billed charges,,5718.29,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXTENSION, SCS LEAD RESTORE ADVANCE 60CM",SUP-64317,CDM,C1883,HCPCS,0278,RC,,,,inpatient,,,2023,809.2,869.89,2150.21,,1110.63,,,,,,,percent of total billed charges,,1420.15,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,1517.25,,,,,,,percent of total billed charges,,,,,,,,,,,1517.25,,,,,,,percent of total billed charges,,1476.79,,,,,,,percent of total billed charges,,1161.2,,,,,,,percent of total billed charges,,1319,,,,,,,percent of total billed charges,,930.58,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.08,,,,,,,percent of total billed charges,,1679.09,,,,,,,percent of total billed charges,,869.89,,,,,,,percent of total billed charges,,1011.5,,,,,,,percent of total billed charges,,1416.1,,,,,,,percent of total billed charges,,1541.53,,,,,,,percent of total billed charges,,1167.27,,,,,,,percent of total billed charges,,1517.25,,,,,,,percent of total billed charges,,1719.55,,,,,,,percent of total billed charges,,1719.55,,,,,,,percent of total billed charges,,1517.25,,,,,,,percent of total billed charges,,1051.96,,,,,,,percent of total billed charges,,950.81,,,,,,,percent of total billed charges,,1416.1,,,,,,,percent of total billed charges,,1719.55,,,,,,,percent of total billed charges,,1416.1,,,,,,,percent of total billed charges,,1213.8,,,,,,,percent of total billed charges,,2150.21,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXTRACTOR, BROKEN SCREW 5MM DIA X 6IN LGTH",SUP-93921,CDM,,,0270,RC,,,,outpatient,,,1292,516.8,555.56,1373.25,,709.31,,,,,,,percent of total billed charges,,906.98,,,,,,,percent of total billed charges,,617.45,,,,,,,percent of total billed charges,,,,,,,,,,,969,,,,,,,percent of total billed charges,,,,,,,,,,,969,,,,,,,percent of total billed charges,,943.16,,,,,,,percent of total billed charges,,741.61,,,,,,,percent of total billed charges,,842.38,,,,,,,percent of total billed charges,,594.32,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.11,,,,,,,percent of total billed charges,,1072.36,,,,,,,percent of total billed charges,,555.56,,,,,,,percent of total billed charges,,646,,,,,,,percent of total billed charges,,904.4,,,,,,,percent of total billed charges,,984.5,,,,,,,percent of total billed charges,,745.48,,,,,,,percent of total billed charges,,969,,,,,,,percent of total billed charges,,1098.2,,,,,,,percent of total billed charges,,1098.2,,,,,,,percent of total billed charges,,969,,,,,,,percent of total billed charges,,671.84,,,,,,,percent of total billed charges,,607.24,,,,,,,percent of total billed charges,,904.4,,,,,,,percent of total billed charges,,1098.2,,,,,,,percent of total billed charges,,904.4,,,,,,,percent of total billed charges,,775.2,,,,,,,percent of total billed charges,,1373.25,,,,,,,percent of total billed charges,,617.45,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXTRACTOR, STONE NITINOL 2.4FR X 115CM W/ 1.5CM BASKET",SUP-49157,CDM,,,0270,RC,,,,inpatient,,,1139,455.6,489.77,1210.62,,625.31,,,,,,,percent of total billed charges,,799.57,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,854.25,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,854.25,,,,,,,percent of total billed charges,,831.47,,,,,,,percent of total billed charges,,653.79,,,,,,,percent of total billed charges,,742.62,,,,,,,percent of total billed charges,,523.94,,,,,,,percent of total billed charges,Zero instances of the item or service in the 12 months prior to posting the file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.16,,,,,,,percent of total billed charges,,945.37,,,,,,,percent of total billed charges,,489.77,,,,,,,percent of total billed charges,,569.5,,,,,,,percent of total billed charges,,797.3,,,,,,,percent of total billed charges,,867.92,,,,,,,percent of total billed charges,,657.2,,,,,,,percent of total billed charges,,854.25,,,,,,,percent of total billed charges,,968.15,,,,,,,percent of total billed charges,,968.15,,,,,,,percent of total billed charges,,854.25,,,,,,,percent of total billed charges,,592.28,,,,,,,percent of total billed charges,,535.33,,,,,,,percent of total billed charges,,797.3,,,,,,,percent of total billed charges,,968.15,,,,,,,percent of total billed charges,,797.3,,,,,,,percent of total billed charges,,683.4,,,,,,,percent of total billed charges,,1210.62,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"EXTRACTOR, STONE NITINOL N-CIRCLE 2.2FR X 115CM TIPLESS",SUP-48861,CDM,,,0270,RC,,,,outpatient,,,722.02,288.81,310.47,767.42,,396.39,,,,,,,percent of total billed charges,,506.86,,,,,,,percent of total billed charges,,345.05,,,,,,,percent of total billed charges,,,,,,,,,,,541.52,,,,,,,percent of total billed charges,,,,,,,,,,,541.52,,,,,,,percent of total billed charges,,527.07,,,,,,,percent of total billed charges,,414.44,,,,,,,percent of total billed charges,,470.76,,,,,,,percent of total billed charges,,332.13,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.69,,,,,,,percent of total billed charges,,599.28,,,,,,,percent of total billed charges,,310.47,,,,,,,percent of total billed charges,,361.01,,,,,,,percent of total billed charges,,505.41,,,,,,,percent of total billed charges,,550.18,,,,,,,percent of total billed charges,,416.61,,,,,,,percent of total billed charges,,541.52,,,,,,,percent of total billed charges,,613.72,,,,,,,percent of total billed charges,,613.72,,,,,,,percent of total billed charges,,541.52,,,,,,,percent of total billed charges,,375.45,,,,,,,percent of total billed charges,,339.35,,,,,,,percent of total billed charges,,505.41,,,,,,,percent of total billed charges,,613.72,,,,,,,percent of total billed charges,,505.41,,,,,,,percent of total billed charges,,433.21,,,,,,,percent of total billed charges,,767.42,,,,,,,percent of total billed charges,,345.05,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"FACTOR IX RECOMB, FC FUSION PROTEIN 1,000 UNIT INTRAVENOUS SOLUTION",RX-176403,CDM,J7201,HCPCS,0636,RC,71104-0922-01,NDC,,outpatient,1,UN,8.11,3.24,3.49,7.22,,4.45,,,,,,,percent of total billed charges,,7.22,,,,,,,fee schedule,,7.02,,,,,,,fee schedule,,,,,,,,,,,6.08,,,,,,,percent of total billed charges,,,,,,,,,,,6.08,,,,,,,percent of total billed charges,,5.92,,,,,,,percent of total billed charges,,7.22,,,,,,,fee schedule,,3.71,,,,,,,fee schedule,,6.08,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,percent of total billed charges,,6.73,,,,,,,percent of total billed charges,,3.49,,,,,,,percent of total billed charges,,4.06,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,6.18,,,,,,,percent of total billed charges,,4.68,,,,,,,percent of total billed charges,,6.08,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,6.08,,,,,,,percent of total billed charges,,4.22,,,,,,,percent of total billed charges,,3.81,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,4.87,,,,,,,percent of total billed charges,,3.71,,,,,,,fee schedule,,7.02,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"FACTOR IX RECOMB, FC FUSION PROTEIN 2,000 UNIT INTRAVENOUS SOLUTION",RX-176404,CDM,J7201,HCPCS,0636,RC,71104-0933-01,NDC,,outpatient,1,UN,8.11,3.24,3.49,7.22,,4.45,,,,,,,percent of total billed charges,,7.22,,,,,,,fee schedule,,7.02,,,,,,,fee schedule,,,,,,,,,,,6.08,,,,,,,percent of total billed charges,,,,,,,,,,,6.08,,,,,,,percent of total billed charges,,5.92,,,,,,,percent of total billed charges,,7.22,,,,,,,fee schedule,,3.71,,,,,,,fee schedule,,6.08,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,,,,,,percent of total billed charges,,6.73,,,,,,,percent of total billed charges,,3.49,,,,,,,percent of total billed charges,,4.06,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,6.18,,,,,,,percent of total billed charges,,4.68,,,,,,,percent of total billed charges,,6.08,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,6.08,,,,,,,percent of total billed charges,,4.22,,,,,,,percent of total billed charges,,3.81,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,6.89,,,,,,,percent of total billed charges,,5.68,,,,,,,percent of total billed charges,,4.87,,,,,,,percent of total billed charges,,3.71,,,,,,,fee schedule,,7.02,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"FACTOR VIII RECOMB, FC FUSION PROTEIN 250 UNIT INTRAVENOUS SOLUTION",RX-174939,CDM,J7205,HCPCS,0636,RC,71104-0801-01,NDC,,outpatient,1,UN,5.15,2.06,2.21,4.88,,2.83,,,,,,,percent of total billed charges,,4.88,,,,,,,fee schedule,,4.68,,,,,,,fee schedule,,,,,,,,,,,3.86,,,,,,,percent of total billed charges,,,,,,,,,,,3.86,,,,,,,percent of total billed charges,,3.76,,,,,,,percent of total billed charges,,4.88,,,,,,,fee schedule,,2.43,,,,,,,fee schedule,,3.99,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,percent of total billed charges,,4.27,,,,,,,percent of total billed charges,,2.21,,,,,,,percent of total billed charges,,2.58,,,,,,,percent of total billed charges,,3.61,,,,,,,percent of total billed charges,,3.92,,,,,,,percent of total billed charges,,2.97,,,,,,,percent of total billed charges,,3.86,,,,,,,percent of total billed charges,,4.38,,,,,,,percent of total billed charges,,4.38,,,,,,,percent of total billed charges,,3.86,,,,,,,percent of total billed charges,,2.68,,,,,,,percent of total billed charges,,2.42,,,,,,,percent of total billed charges,,3.61,,,,,,,percent of total billed charges,,4.38,,,,,,,percent of total billed charges,,3.61,,,,,,,percent of total billed charges,,3.09,,,,,,,percent of total billed charges,,2.43,,,,,,,fee schedule,,4.68,,,,,,,fee schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"FELT, ORTHOPEDIC WHITE 36 X 21 X 0.1250IN",SUP-53566,CDM,,,0270,RC,,,,outpatient,,,123.13,49.25,52.95,130.87,,67.6,,,,,,,percent of total billed charges,,86.44,,,,,,,percent of total billed charges,,58.84,,,,,,,percent of total billed charges,,,,,,,,,,,92.35,,,,,,,percent of total billed charges,,,,,,,,,,,92.35,,,,,,,percent of total billed charges,,89.88,,,,,,,percent of total billed charges,,70.68,,,,,,,percent of total billed charges,,80.28,,,,,,,percent of total billed charges,,56.64,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.07,,,,,,,percent of total billed charges,,102.2,,,,,,,percent of total billed charges,,52.95,,,,,,,percent of total billed charges,,61.57,,,,,,,percent of total billed charges,,86.19,,,,,,,percent of total billed charges,,93.83,,,,,,,percent of total billed charges,,71.05,,,,,,,percent of total billed charges,,92.35,,,,,,,percent of total billed charges,,104.66,,,,,,,percent of total billed charges,,104.66,,,,,,,percent of total billed charges,,92.35,,,,,,,percent of total billed charges,,64.03,,,,,,,percent of total billed charges,,57.87,,,,,,,percent of total billed charges,,86.19,,,,,,,percent of total billed charges,,104.66,,,,,,,percent of total billed charges,,86.19,,,,,,,percent of total billed charges,,73.88,,,,,,,percent of total billed charges,,130.87,,,,,,,percent of total billed charges,,58.84,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facility,"FEMUR, KNEE >60MM PERSONA RT #4 STANDARD PS CEMENTED",SUP-84206,CDM,C1776,HCPCS,0278,RC,,,,outpatient,,,4610.68,1844.27,1982.59,4900.62,,2531.26,,,,,,,percent of total billed charges,,3236.7,,,,,,,percent of total billed charges,,2203.44,,,,,,,percent of total billed charges,,,,,,,,,,,3458.01,,,,,,,percent of total billed charges,,,,,,,,,,,3458.01,,,,,,,percent of total billed charges,,3365.8,,,,,,,percent of total billed charges,,2646.53,,,,,,,percent of total billed charges,,3006.16,,,,,,,percent of total billed charges,,2120.91,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.87,,,,,,,percent of total billed charges,,3826.86,,,,,,,percent of total billed charges,,1982.59,,,,,,,percent of total billed charges,,2305.34,,,,,,,percent of total billed charges,,3227.48,,,,,,,percent of total billed charges,,3513.34,,,,,,,percent of total billed charges,,2660.36,,,,,,,percent of total billed charges,,3458.01,,,,,,,percent of total billed charges,,3919.08,,,,,,,percent of total billed charges,,3919.08,,,,,,,percent of total billed charges,,3458.01,,,,,,,percent of total billed charges,,2397.55,,,,,,,percent of total billed charges,,2167.02,,,,,,,percent of total billed charges,,3227.48,,,,,,,percent of total billed charges,,3919.08,,,,,,,percent of total billed charges,,3227.48,,,,,,,percent of total billed charges,,2766.41,,,,,,,percent of total billed charges,,4900.62,,,,,,,percent of total billed charges,,2203.44,,,,,,,percent of total billed charges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
