"BUPivacaine-EPINEPHrine (PF) 0.5 %-1:200,000 solution 30 mL Vial",0250,RC,63323046237,NDC,25000003,CDM,,,,outpatient,30,ML,36.89,12.92,Denver Health Employer Group,HMO/POS/PPO,12.65,34.30,,,,,0,percent of total billed charges,10.57,27.48,No services performed during 15-month lookback period.,,facility
"BUPivacaine-EPINEPHrine 0.5 %-1:200,000 solution 50 mL Vial",0250,RC,00409904601,NDC,25000003,CDM,,,,inpatient,50,ML,26.31,9.21,Aetna Healthcare,HMO/POS/PPO,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,9.02,9.02,No services performed during 15-month lookback period.,,facility
"BUPivacaine-EPINEPHrine 0.5 %-1:200,000 solution 50 mL Vial",0250,RC,00409904601,NDC,25000003,CDM,,,,outpatient,50,ML,26.31,9.21,CMS,Medicare,,,Service is bundled into other payable services where appropriate,,,,0,other,7.54,19.60,No services performed during 15-month lookback period.,,facility
"Battery elec/combo vad, rep",Q0496,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,3044.80,,,,,,,case rate,1116.99,3044.80,,,facility
"Brachytx, non-str,HDR Ir-192",C1717,HCPCS,,,,,,,,outpatient,,,,,CMS,Medicare,357.49,,,,,,,case rate,357.49,582.07,,,facility
"Brachytx, non-stranded,I-125",C2639,HCPCS,,,,,,,,outpatient,,,,,Denver Health Medical Plan Elevate,HMO/POS/PPO,59.66,,,,,,,case rate,36.64,59.66,,,facility
"Butorphanol tartrate, nasal",S0012,HCPCS,,,,,,,,outpatient,,,,,Cigna Healthcare,HMO/POS/PPO,103.56,,,,,,,fee schedule,93.66,295.78,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,If no rate on ASP Fee Schedule 46.93% Reduction from Billed Charges,facility
"CATH, DRAINAGE",C1729,HCPCS,0272,RC,27257931,CDM,,,,inpatient,,,441.84,154.65,Aetna Healthcare,Medicare Advantage,,,Service is bundled into MS-DRG payment where appropriate,,,,0,other,151.55,151.55,No services performed during 15-month lookback period.,,facility
"CATH, DRAINAGE",C1729,HCPCS,0272,RC,27257931,CDM,,,,outpatient,,,441.84,154.65,Aetna Healthcare,HMO/POS/PPO,19.20,,,,,,,fee schedule,19.20,329.17,,,facility
"CATH, DRAINAGE",C1729,HCPCS,0272,RC,27257932,CDM,,,,outpatient,,,441.84,154.65,Anthem Blue Cross Blue Shield,HMO/POS/PPO,126.54,28.64,,,,,0,percent of total billed charges,19.20,329.17,No services performed during 15-month lookback period.,,facility
